lag,pct_out_max,minutes_out,PRCP,WSF2,AWND
-7,0.0027927423524816194,1260.7161629434954,0.3862779869102314,0.2217489603945135,0.06818982886943814
-6,0.0029341970195754913,1257.2028890347997,0.3838842577851107,0.2207677129036627,0.06676662279833229
-5,0.0031752418259286858,1258.5832968954962,0.39702399579934133,0.22674268353837002,0.06784985438429407
-4,0.0034317121642015625,1262.1274038461538,0.43997659982906917,0.23757648505537748,0.07684507097186352
-3,0.00338614700669811,1265.4792576419213,0.4577453376011062,0.23957318394178748,0.06541452605545577
-2,0.003386897861334463,1267.725686873092,0.5262097874611955,0.2616349307382113,0.07034709682360515
-1,0.0047267574428387586,1277.6913015042512,0.9962355067492072,0.5655586653022208,0.1925350728884727
0,0.005329780482403456,1302.2534291312868,1.885301778685077,0.5152314122249,0.25896124266849735
1,0.004561851440623829,1286.0023970363914,0.9020044823546081,0.27836850978568345,0.12477369292230628
2,0.003968929212608124,1271.3801003709361,0.5087927305226027,0.21407168782074704,0.06208762791789429
3,0.003695697848413885,1271.3926541320507,0.46554794781321246,0.20846078444830382,0.06276046465572181
4,0.00361020876142408,1270.4093695271454,0.4398362898594163,0.21897766515555017,0.07519308184982842
5,0.003397123689796053,1270.329754601227,0.3939342289335357,0.2133799857771568,0.07198379451447284
6,0.002931763480873156,1266.5986842105262,0.38976123767683374,0.2035322227429876,0.07341955240313174
7,0.0029867312137149622,1266.6073781291173,0.38719587959351254,0.19722155183150136,0.0706010762843024
