day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT11
2021-01-01,4.966666666666667,34.1,0.5,-7.242857142857143,13.4,16.1,1.0,,,1.0,1.0,1.0,
2021-01-02,2.8333333333333335,579.3,1.7375,-2.3125,7.2,11.2,1.0,,,,,1.0,
2021-01-03,3.0,104.9,0.9,-2.95,5.8,8.9,1.0,,,,,1.0,
2021-01-04,3.5666666666666664,1.7,-0.475,-4.557142857142857,6.7,11.6,1.0,1.0,,1.0,1.0,1.0,
2021-01-05,2.533333333333333,1.2,1.75,-2.55,6.7,8.9,1.0,,,,,1.0,
2021-01-06,1.9000000000000001,0.0,3.125,-2.0625,4.5,6.3,1.0,,,,,1.0,
2021-01-07,3.9333333333333336,0.0,3.4625,-0.8250000000000001,7.6,10.3,1.0,,,,,,
2021-01-08,5.033333333333333,1.8,2.0714285714285716,-0.8428571428571429,9.8,12.1,1.0,,,,,1.0,
2021-01-09,3.1333333333333333,6.5,2.575,-3.075,6.3,8.5,,,,,,,
2021-01-10,2.533333333333333,0.0,0.35000000000000003,-4.6125,6.7,8.9,,,,,,1.0,
2021-01-11,5.566666666666667,2.4000000000000004,-1.1375000000000002,-6.1625,8.9,13.0,1.0,,,,,1.0,
2021-01-12,4.3,0.0,1.1875,-3.9125,7.6,11.2,1.0,,,,,1.0,
2021-01-13,3.6666666666666665,0.0,4.175,-2.0625,7.2,10.7,1.0,,,,,,
2021-01-14,4.133333333333334,16.0,4.575,-0.6625000000000001,8.9,13.4,1.0,,,,,,
2021-01-15,2.7000000000000006,238.6,3.675,-1.225,6.3,9.4,1.0,,,1.0,,,
2021-01-16,3.766666666666667,149.4,2.575,-2.1875,7.2,10.3,1.0,,,,,,
2021-01-17,2.8666666666666667,74.9,1.8125,-2.3875,5.8,7.2,1.0,,,,,1.0,
2021-01-18,4.033333333333333,48.7,-0.7375,-4.525,8.9,11.6,1.0,,,,,,
2021-01-19,4.5,4.2,-0.4625,-7.1375,11.6,14.8,1.0,1.0,,,,1.0,
2021-01-20,5.733333333333333,119.5,0.6375,-10.875,11.2,17.0,,,,,,,
2021-01-21,6.2,0.0,3.5,-4.8375,11.6,18.3,,,,,,,
2021-01-22,4.633333333333333,0.0,1.3499999999999999,-10.325,9.8,13.4,,,,,,,
2021-01-23,2.3000000000000003,0.0,-3.025,-13.2125,5.8,8.5,,,,,,,
2021-01-24,3.033333333333333,10.4,0.42500000000000004,-7.325,7.2,10.3,1.0,,,,,1.0,
2021-01-25,5.733333333333333,6.4,1.125,-3.575,11.6,17.0,1.0,,,1.0,,,
2021-01-26,7.1000000000000005,553.1,0.36250000000000004,-3.1375,11.2,15.2,1.0,,,,,,
2021-01-27,4.7,172.1,-1.6125,-8.425,7.2,10.3,1.0,,,,,1.0,
2021-01-28,2.533333333333333,0.5,-3.0,-12.825,6.7,8.5,,,,,,,
2021-01-29,2.6,0.0,-1.25,-10.742857142857144,6.3,12.1,,,,,,,
2021-01-30,6.8999999999999995,24.599999999999998,0.7000000000000001,-5.25,13.0,18.3,1.0,1.0,,,,,
2021-01-31,6.766666666666667,988.5,0.625,-1.85,10.7,14.8,1.0,,,,,1.0,
2021-02-01,4.766666666666667,307.5,0.5,-5.0375,10.3,12.5,,,,,,,
2021-02-02,3.966666666666667,0.0,0.5125,-6.5625,8.1,10.3,,,,,,,
2021-02-03,2.3666666666666667,0.0,2.0875,-8.842857142857143,5.8,10.3,1.0,,,,,1.0,
2021-02-04,6.8999999999999995,22.6,2.725,-8.225,14.3,21.9,1.0,1.0,,,,1.0,1.0
2021-02-05,8.1,327.9,-3.3,-13.3,14.3,22.4,1.0,,,,,,
2021-02-06,4.366666666666666,3.1,-9.95,-16.3,8.9,11.6,1.0,,,,,1.0,
