day,PRCP,TMAX,TMIN
2020-01-01,0.3,14.15,7.5
2020-01-02,0.0,15.85,7.800000000000001
2020-01-03,0.0,15.850000000000001,7.5
2020-01-04,0.6,15.25,8.35
2020-01-05,0.0,15.25,6.65
2020-01-06,0.0,15.55,6.65
2020-01-07,0.6,14.700000000000001,6.949999999999999
2020-01-08,0.5,13.3,8.9
2020-01-09,31.3,12.2,8.9
2020-01-10,0.0,13.850000000000001,6.65
2020-01-11,16.2,13.05,7.2
2020-01-12,0.3,13.05,6.4
2020-01-13,8.1,12.5,4.7
2020-01-14,13.7,12.75,5.0
2020-01-15,0.0,11.7,6.7
2020-01-16,65.3,10.0,6.1
2020-01-17,29.8,12.2,6.1
2020-01-18,0.0,12.2,8.3
2020-01-19,0.0,12.8,7.8
2020-01-20,0.0,13.9,8.3
2020-01-21,8.899999999999999,13.9,10.6
2020-01-22,6.1,15.25,7.199999999999999
2020-01-23,0.0,15.0,10.0
2020-01-24,0.0,15.55,8.6
2020-01-25,0.3,16.7,10.25
2020-01-26,24.1,15.0,10.0
2020-01-27,0.0,13.850000000000001,10.3
2020-01-28,4.6,13.850000000000001,10.85
2020-01-29,1.8,14.15,8.35
2020-01-30,0.0,15.25,9.2
2020-01-31,0.0,19.7,9.2
2020-02-01,0.0,17.75,10.55
2020-02-02,0.0,15.55,8.6
2020-02-03,0.0,15.55,2.5
2020-02-04,0.0,13.05,6.949999999999999
2020-02-05,0.0,14.700000000000001,5.85
2020-02-06,0.0,17.25,6.65
2020-02-07,0.0,16.4,6.4
2020-02-08,0.0,15.850000000000001,6.65
2020-02-09,0.0,16.65,7.2
2020-02-10,0.0,21.15,9.15
2020-02-11,0.0,23.3,13.3
2020-02-12,0.0,18.9,10.6
2020-02-13,0.0,11.7,9.4
2020-02-14,0.0,15.6,9.4
2020-02-15,0.0,17.2,8.9
2020-02-16,0.0,15.0,9.4
2020-02-17,0.0,20.6,8.9
2020-02-18,0.0,20.0,7.2
2020-02-19,0.0,15.25,8.05
2020-02-20,0.0,18.6,8.6
2020-02-21,0.0,21.7,10.6
2020-02-22,0.0,15.0,10.0
2020-02-23,0.0,14.4,9.4
2020-02-24,0.0,18.9,8.9
2020-02-25,0.0,21.1,8.9
2020-02-26,0.0,20.85,12.8
2020-02-27,0.0,23.9,11.7
2020-02-28,0.0,20.0,9.45
2020-02-29,0.0,16.65,9.15
2020-03-01,0.0,15.0,7.8
2020-03-02,0.0,20.0,9.149999999999999
2020-03-03,0.0,20.3,9.7
2020-03-04,0.0,20.55,9.45
2020-03-05,0.0,17.25,9.45
2020-03-06,0.6,14.45,8.35
2020-03-07,17.799999999999997,12.8,9.4
2020-03-08,5.6,13.3,7.8
2020-03-09,48.3,17.8,10.0
2020-03-10,0.0,21.15,8.9
2020-03-11,0.0,19.450000000000003,8.65
2020-03-12,0.0,18.65,7.5
2020-03-13,8.1,18.6,8.35
2020-03-14,43.2,16.1,7.800000000000001
2020-03-15,40.4,16.65,7.25
2020-03-16,13.4,16.65,5.6
2020-03-17,3.3,12.8,6.7
2020-03-18,2.9000000000000004,12.8,8.3
2020-03-19,0.0,15.0,8.3
2020-03-20,0.0,19.200000000000003,6.95
2020-03-21,0.0,18.9,7.2
2020-03-22,0.0,17.75,9.75
2020-03-23,0.8,16.700000000000003,7.5
2020-03-24,7.3,17.5,7.8
2020-03-25,1.8,11.95,6.65
2020-03-26,0.0,13.600000000000001,5.55
2020-03-27,0.0,13.3,8.3
2020-03-28,7.3999999999999995,13.9,10.6
2020-03-29,17.4,14.4,10.6
2020-03-30,1.3,15.6,11.1
2020-03-31,0.0,16.7,11.1
2020-04-01,0.0,13.9,8.9
2020-04-02,0.0,15.6,7.8
2020-04-03,0.0,14.4,8.3
2020-04-04,13.2,12.8,8.9
2020-04-05,22.7,11.7,9.4
2020-04-06,12.8,10.6,7.2
2020-04-07,8.9,16.1,7.2
2020-04-08,0.0,14.4,10.6
2020-04-09,0.0,16.1,11.1
2020-04-10,0.0,16.1,11.1
2020-04-11,0.0,13.3,10.6
2020-04-12,0.0,16.7,10.6
2020-04-13,0.0,17.2,11.1
2020-04-14,0.0,24.4,9.4
2020-04-15,0.0,20.6,11.1
2020-04-16,0.0,13.9,10.6
2020-04-17,0.0,15.0,11.1
2020-04-18,0.0,16.7,12.2
2020-04-19,0.0,16.7,11.7
2020-04-20,0.0,15.0,11.1
2020-04-21,0.0,17.2,10.6
2020-04-22,0.0,20.0,10.6
