day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08
2020-01-01,1.6000000000000003,0.0,20.766666666666666,11.25,5.8,6.7,,,,1.0
2020-01-02,1.8,0.0,24.325,10.425,7.2,8.9,,,,
2020-01-03,3.3666666666666667,0.0,28.049999999999997,14.575,8.1,10.3,1.0,1.0,,
2020-01-04,4.6000000000000005,31.200000000000003,27.65,18.325000000000003,13.9,16.5,1.0,,,
2020-01-05,2.3000000000000003,262.6,21.675,7.925000000000001,10.3,13.4,,,,
2020-01-06,0.7666666666666666,0.0,18.475,5.55,4.5,5.8,,,,
2020-01-07,1.7,0.3,21.65,5.975,8.1,10.3,,,,1.0
2020-01-08,2.6,0.0,21.675,7.925,6.7,8.5,,,,
2020-01-09,2.7999999999999994,0.0,23.200000000000003,8.75,11.2,13.9,,,,
2020-01-10,2.966666666666667,0.0,26.1,11.95,10.3,13.0,,,,
2020-01-11,3.8666666666666667,0.6,28.325,17.775,10.3,14.3,1.0,,,1.0
2020-01-12,2.1333333333333333,5.1,28.875,19.424999999999997,7.6,9.8,1.0,,,
2020-01-13,2.733333333333333,19.3,28.875,19.7,7.6,9.8,1.0,,,
2020-01-14,1.2666666666666666,0.3,28.3,16.4,6.3,8.1,1.0,1.0,,1.0
2020-01-15,1.3666666666666665,23.0,28.325,18.475,5.8,7.2,1.0,,,
2020-01-16,2.35,0.8,28.475,18.175,6.3,8.5,,,,
2020-01-17,3.9,0.0,26.95,17.9,11.6,14.8,,,,
2020-01-18,3.033333333333333,0.0,25.7,14.725,9.8,11.2,,,,
2020-01-19,2.9333333333333336,0.5,26.0,15.399999999999999,7.6,12.1,,,,
2020-01-20,3.4333333333333336,3.2,22.625,7.2250000000000005,9.4,11.2,,,,
2020-01-21,4.833333333333333,0.0,15.675,4.175,11.2,13.9,,,,1.0
2020-01-22,5.033333333333334,0.0,12.65,1.5250000000000001,10.3,13.4,,,,1.0
