day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
2020-01-01,2.3,0.0,13.9,1.9500000000000002,6.3,8.9,,,,,,
2020-01-02,2.25,61.9,10.0,6.699999999999999,7.2,9.4,1.0,,,,,
2020-01-03,1.8,415.3,16.65,10.0,10.3,12.5,1.0,1.0,,,,
2020-01-04,5.6,290.5,14.7,2.8,14.8,18.8,1.0,,,,,1.0
2020-01-05,3.0,3.6,12.5,0.0,9.8,12.5,,,,,,
2020-01-06,1.7000000000000002,0.0,16.95,1.65,4.5,6.3,,,,,,
2020-01-07,4.85,6.300000000000001,13.9,6.1,11.6,15.2,,,,,,
2020-01-08,1.9,0.0,16.1,1.1,6.3,8.1,,,,,,
2020-01-09,2.8499999999999996,0.0,17.8,0.5999999999999999,9.4,13.0,,,,,,
2020-01-10,4.0,0.0,18.9,10.3,6.3,9.8,,,,,,
2020-01-11,5.75,68.4,21.4,15.6,16.5,24.1,1.0,,1.0,,,
2020-01-12,1.2,217.79999999999998,20.3,8.05,9.4,12.1,1.0,1.0,,,,
2020-01-13,1.85,106.2,19.15,14.45,5.8,6.7,1.0,1.0,1.0,,,
2020-01-14,1.65,194.7,18.05,14.75,9.8,12.5,1.0,1.0,1.0,,,
2020-01-15,1.65,91.89999999999999,21.65,12.5,5.4,6.7,1.0,1.0,,,,
2020-01-16,5.0,141.6,18.3,9.7,10.3,15.7,1.0,,,,,
2020-01-17,3.95,0.0,13.05,6.65,8.1,10.7,,,,,,
2020-01-18,2.9,27.2,11.399999999999999,6.1,7.6,11.6,1.0,,,,,
2020-01-19,6.0,100.0,13.05,-0.25,11.2,13.9,1.0,,,,,
2020-01-20,4.9,0.0,3.05,-4.05,9.4,11.2,,,,,,
2020-01-21,3.3000000000000003,0.0,4.7,-4.9,7.6,10.3,,,,,,
2020-01-22,2.65,0.0,10.3,-5.449999999999999,8.1,10.3,,,,,,
2020-01-23,4.55,18.7,9.15,2.5,8.9,10.7,1.0,,,,,
2020-01-24,2.45,243.8,14.45,4.15,7.2,8.9,1.0,1.0,,,,
2020-01-25,4.25,9.4,7.5,2.8,8.9,10.7,,,,,,
2020-01-26,1.85,0.3,10.3,0.6,5.8,7.2,,,,,,
2020-01-27,2.25,3.5,11.399999999999999,4.449999999999999,6.7,8.5,1.0,,,,,
2020-01-28,2.2,0.3,15.0,1.15,7.6,10.7,1.0,,,,,
2020-01-29,1.85,0.0,11.399999999999999,3.65,6.3,7.6,,,,,,
2020-01-30,2.35,0.0,15.0,1.9500000000000002,5.4,8.1,1.0,,,,,
2020-01-31,3.9000000000000004,9.1,7.5,3.85,7.6,9.4,1.0,,,,,1.0
2020-02-01,2.9,4.6,10.55,4.7,8.1,10.3,1.0,,,,,
2020-02-02,3.05,0.8999999999999999,18.6,1.15,9.4,11.6,,,,,,
2020-02-03,2.65,0.0,24.4,3.3499999999999996,8.9,11.2,,,,,,
2020-02-04,3.2,0.0,20.3,13.600000000000001,6.7,9.8,,,,,,
2020-02-05,4.25,39.099999999999994,19.7,16.1,8.1,11.6,1.0,,1.0,,,
2020-02-06,4.1,444.2,21.95,10.0,13.4,19.2,1.0,,1.0,,,
2020-02-07,5.45,365.4,10.0,0.30000000000000004,11.6,17.4,,,,,,
2020-02-08,1.2000000000000002,10.7,7.2,-1.3,4.0,5.8,1.0,1.0,,,,1.0
2020-02-09,2.75,26.1,13.3,1.1,6.7,9.4,1.0,1.0,,,,
2020-02-10,2.3,81.8,12.8,3.5999999999999996,10.3,11.6,1.0,,1.0,,,
