day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
2021-01-01,2.5,19.5,4.4,0.6,5.4,7.6,1.0,,,,,,
2021-01-02,3.0,19.6,10.6,2.2,9.8,14.8,1.0,,,,,,
2021-01-03,4.1,5.6,3.3,1.1,8.1,12.1,1.0,,,,,,
2021-01-04,2.0,9.4,6.1,1.7,5.4,8.1,1.0,,,,,,
2021-01-05,2.2,0.0,5.6,2.2,5.4,7.6,,,,,,,
2021-01-06,3.7,0.0,5.0,1.1,9.4,13.9,,,,,,,
2021-01-07,3.1,0.0,5.0,-1.0,6.7,9.8,,,,,,,
2021-01-08,2.7,0.0,2.8,-2.7,5.8,8.5,,,,,,,
2021-01-09,3.1,0.0,2.8,-4.3,7.6,12.5,,,,,,,
2021-01-10,1.9,0.0,5.0,-1.6,5.8,7.6,,,,,,,
2021-01-11,1.1,0.0,2.8,-2.1,3.6,4.9,,,,,,,
2021-01-12,2.0,0.0,6.7,0.6,4.0,5.4,,,,,,,
2021-01-13,1.4,0.0,6.1,1.7,5.8,8.9,,,,,,,
2021-01-14,0.9,0.0,9.4,3.9,3.6,5.4,,,,,,,1.0
2021-01-15,3.6,9.7,7.8,3.3,7.2,10.7,1.0,,1.0,,,,1.0
2021-01-16,3.8,55.400000000000006,8.3,2.8,9.8,13.4,1.0,,,,,,
2021-01-17,3.7,0.0,6.7,1.7,8.1,15.7,,,,,,,
2021-01-18,3.4,0.0,7.2,2.8,7.2,10.3,,,,,,,
2021-01-19,2.6,0.0,6.1,1.7,7.6,12.1,,,,,,,
2021-01-20,3.4,1.0,4.4,-2.7,9.4,14.3,1.0,,,,,,
2021-01-21,1.7,0.0,6.1,-3.8,7.2,10.3,,,,,,,
2021-01-22,3.4,0.0,7.2,2.2,7.2,13.0,,,,,,,
2021-01-23,5.1,0.0,2.2,-4.3,10.3,15.2,,,,,,,
2021-01-24,4.5,0.0,0.0,-5.5,8.9,14.3,,,,,,,
2021-01-25,2.3,0.0,2.8,-4.9,6.3,9.8,,,,,,,
2021-01-26,3.2,2.5,1.1,-0.5,6.7,9.4,1.0,,,,,,1.0
2021-01-27,2.6,4.8,2.8,-0.5,6.7,10.3,1.0,,,,,,
2021-01-28,4.6,0.0,1.1,-6.6,10.3,16.5,,,,,,,
2021-01-29,6.2,0.0,-3.8,-9.9,11.6,19.2,,,,,,,
2021-01-30,3.4,0.0,0.0,-8.2,6.7,9.8,,,,,,,
2021-01-31,3.0,3.0,-3.2,-6.6,7.6,10.7,1.0,,,,,,1.0
2021-02-01,6.4,65.5,1.1,-5.5,8.9,16.1,1.0,1.0,,,,,
2021-02-02,3.8,3.3,0.6,-1.0,7.2,10.7,1.0,,,,,,1.0
2021-02-03,3.4,0.3,2.8,-1.6,6.7,9.8,1.0,,,,,,1.0
2021-02-04,3.1,0.0,6.1,-0.5,7.2,11.2,,,,,,,
2021-02-05,2.2,1.8,8.3,2.8,7.6,11.2,,,,,,,
2021-02-06,3.1,0.0,6.7,1.1,11.2,16.5,,,,,,,
2021-02-07,2.8,9.9,4.4,-4.3,6.7,12.1,1.0,1.0,,,,,1.0
2021-02-08,2.9,0.0,-1.6,-8.2,7.2,11.2,,,,,,,
2021-02-09,2.2,0.0,0.6,-2.7,4.5,7.2,1.0,,,,,,1.0
