day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
2019-01-01,3.4333333333333336,838.0,2.55,-2.25,7.2,9.8,1.0,,,,1.0,,1.0,
2019-01-02,3.9000000000000004,4.4,-0.35555555555555557,-3.111111111111111,9.4,13.0,1.0,,,,,1.0,1.0,
2019-01-03,4.8999999999999995,3.2,2.0444444444444443,-4.466666666666667,7.6,13.0,1.0,,,,,,,
2019-01-04,3.1999999999999997,0.0,7.288888888888888,-2.3222222222222224,6.7,9.4,,,,,,,,
2019-01-05,3.1999999999999997,0.0,10.81111111111111,-1.1666666666666667,8.1,11.6,,,,,,,1.0,
2019-01-06,4.8999999999999995,0.0,7.855555555555556,0.2666666666666666,9.8,13.4,,,,,,,,
2019-01-07,7.1000000000000005,60.6,9.411111111111111,3.2,11.6,17.0,1.0,,,,,,,
2019-01-08,6.6000000000000005,399.09999999999997,9.744444444444445,-1.5444444444444445,15.7,21.9,1.0,,,,,,,
2019-01-09,6.366666666666667,0.0,1.588888888888889,-7.911111111111111,10.7,15.2,1.0,,,,,,,
2019-01-10,2.1333333333333333,0.0,-4.466666666666667,-9.833333333333334,7.2,8.9,,,,,,,,
2019-01-11,2.3333333333333335,0.0,-1.9000000000000001,-7.688888888888889,6.3,10.3,,,,,,,,
2019-01-12,4.566666666666666,18.5,-0.24444444444444446,-3.2333333333333334,9.8,14.3,1.0,,,,,,1.0,
2019-01-13,5.0,282.9,-0.24444444444444446,-3.177777777777778,9.4,12.1,1.0,,,,,,,
2019-01-14,3.766666666666667,0.0,-1.1444444444444446,-5.522222222222222,7.2,10.3,1.0,,,,,1.0,1.0,
2019-01-15,5.1000000000000005,0.0,-0.47777777777777775,-4.588888888888889,9.8,13.9,1.0,,,,,1.0,,
2019-01-16,3.8333333333333335,0.5,1.3666666666666667,-2.677777777777778,7.2,9.4,1.0,,,,,1.0,,
2019-01-17,2.4,0.0,1.7777777777777777,-2.433333333333333,5.8,7.6,1.0,,,,,,1.0,
2019-01-18,4.466666666666667,3.8,0.711111111111111,-2.3111111111111113,9.8,12.1,1.0,,,,,,,
2019-01-19,8.366666666666667,549.7,-1.5,-6.9625,13.9,17.4,1.0,,,,,,,
2019-01-20,5.833333333333333,115.6,-6.2555555555555555,-13.855555555555556,9.4,12.5,,,,,,,,
2019-01-21,3.8333333333333335,9.7,-8.722222222222221,-14.333333333333334,8.1,11.2,1.0,,,,,,1.0,
2019-01-22,4.266666666666667,10.399999999999999,-2.3444444444444446,-12.133333333333333,9.8,13.4,1.0,,,1.0,,1.0,,
2019-01-23,4.233333333333333,369.4,1.488888888888889,-6.877777777777777,8.9,11.2,1.0,1.0,,,,1.0,,
2019-01-24,5.1000000000000005,69.2,-2.677777777777778,-14.666666666666666,10.7,15.7,1.0,,,,,,1.0,
2019-01-25,4.433333333333334,7.1,-10.477777777777778,-20.91111111111111,8.9,12.1,1.0,,,,,,,
2019-01-26,2.6333333333333333,42.7,-11.955555555555556,-21.844444444444445,8.1,11.2,1.0,,,,,,,
2019-01-27,3.033333333333333,73.8,-10.344444444444443,-20.288888888888888,6.7,10.3,,,,,,,,
2019-01-28,5.766666666666667,440.3,0.1333333333333334,-16.266666666666666,11.6,15.7,1.0,,,,,1.0,1.0,
2019-01-29,6.866666666666667,109.3,-6.5777777777777775,-20.9,13.0,19.7,1.0,,,,,,1.0,
2019-01-30,6.766666666666667,2.0,-18.744444444444444,-29.82222222222222,10.7,16.5,,,,,,,,
2019-01-31,2.6666666666666665,3.4000000000000004,-18.788888888888888,-29.233333333333334,6.3,8.9,1.0,,,,,,1.0,
2019-02-01,2.4,83.7,-9.544444444444444,-22.133333333333336,5.8,10.3,1.0,,,,,,1.0,
2019-02-02,4.6000000000000005,0.0,1.7333333333333332,-11.633333333333333,7.6,11.6,1.0,,,,,,1.0,
