day,PRCP,TMAX,TMIN
2022-01-01,0.0,11.1,5.6
2022-01-02,0.0,11.7,4.4
2022-01-03,27.9,12.8,8.9
2022-01-04,63.8,13.9,10.6
2022-01-05,0.3,13.9,10.6
2022-01-06,1.6,12.8,10.6
2022-01-07,8.3,12.8,8.3
2022-01-08,3.4000000000000004,12.8,7.2
2022-01-09,0.3,14.4,7.8
2022-01-10,0.0,16.7,9.4
2022-01-11,0.0,17.2,8.3
2022-01-12,0.0,16.7,10.0
2022-01-13,0.0,16.1,11.1
2022-01-14,0.0,17.8,8.3
2022-01-15,0.0,17.2,10.0
2022-01-16,0.0,15.6,11.1
2022-01-17,0.0,16.7,10.6
2022-01-18,0.0,13.9,9.4
2022-01-19,0.0,15.6,8.3
2022-01-20,0.0,17.2,7.8
2022-01-21,0.0,19.4,9.4
2022-01-22,0.0,19.4,12.2
2022-01-23,0.0,18.3,8.9
2022-01-24,0.0,15.6,8.3
2022-01-25,0.0,13.3,8.3
2022-01-26,0.0,16.1,7.8
2022-01-27,0.0,17.8,8.3
2022-01-28,0.0,17.8,8.9
2022-01-29,0.0,16.7,8.3
2022-01-30,0.0,15.0,7.8
2022-01-31,0.0,15.6,8.9
2022-02-01,0.0,16.1,6.7
2022-02-02,0.0,16.7,11.1
2022-02-03,0.0,17.8,8.3
2022-02-04,0.0,16.7,8.3
2022-02-05,0.0,17.2,8.3
2022-02-06,0.0,18.3,7.2
2022-02-07,0.0,18.9,8.3
2022-02-08,0.0,22.2,8.9
2022-02-09,0.0,23.9,11.1
2022-02-10,0.0,24.4,12.2
2022-02-11,0.0,24.4,12.8
2022-02-12,0.0,23.3,12.8
2022-02-13,0.0,23.3,10.0
2022-02-14,0.0,11.7,9.4
2022-02-15,0.0,14.4,7.2
2022-02-16,0.0,18.3,9.4
2022-02-17,0.0,19.4,11.1
2022-02-18,0.0,18.9,9.4
2022-02-19,0.0,20.0,9.4
2022-02-20,0.0,12.8,8.9
2022-02-21,1.3,12.2,6.7
2022-02-22,2.4000000000000004,10.0,6.1
2022-02-23,0.0,11.7,5.6
2022-02-24,0.0,12.8,5.0
2022-02-25,0.0,15.6,5.0
2022-02-26,0.0,15.0,6.7
2022-02-27,0.0,18.9,8.3
2022-02-28,0.0,21.1,9.4
2022-03-01,0.3,17.8,8.9
2022-03-02,0.3,18.3,10.0
2022-03-03,3.3,13.3,10.0
2022-03-04,13.4,12.8,6.7
2022-03-05,1.8,13.3,6.7
2022-03-06,0.0,14.4,7.2
2022-03-07,0.0,19.4,6.7
2022-03-08,0.0,20.6,9.4
2022-03-09,0.0,15.0,8.9
2022-03-10,0.0,18.3,8.3
2022-03-11,0.0,20.6,7.8
2022-03-12,0.0,13.3,5.0
2022-03-13,2.1,15.6,10.0
2022-03-14,0.0,19.4,8.3
2022-03-15,29.0,15.6,10.0
2022-03-16,0.3,15.6,8.9
2022-03-17,0.0,13.3,9.4
2022-03-18,0.0,17.8,8.9
2022-03-19,0.3,13.3,10.0
2022-03-20,2.1,15.6,8.3
2022-03-21,0.0,17.8,8.9
2022-03-22,0.0,26.1,10.6
2022-03-23,0.3,13.9,9.4
2022-03-24,0.0,12.8,8.9
2022-03-25,0.6,13.9,7.8
2022-03-26,0.0,14.4,9.4
2022-03-27,10.399999999999999,16.1,10.0
2022-03-28,13.399999999999999,15.0,10.6
2022-03-29,0.0,14.4,10.0
2022-03-30,0.0,14.4,9.4
2022-03-31,0.0,17.2,8.9
2022-04-01,0.0,17.8,8.9
2022-04-02,0.0,21.1,9.4
2022-04-03,0.0,17.2,9.4
2022-04-04,0.0,15.6,9.4
2022-04-05,0.0,17.2,9.4
2022-04-06,0.0,26.1,10.6
2022-04-07,0.0,30.0,14.4
2022-04-08,0.0,22.2,10.6
2022-04-09,0.0,17.2,9.4
2022-04-10,0.0,16.7,9.4
2022-04-11,17.299999999999997,11.7,7.8
2022-04-12,4.8999999999999995,11.7,7.2
2022-04-13,0.0,13.9,7.8
2022-04-14,17.0,13.9,8.9
2022-04-15,21.6,13.3,7.2
2022-04-16,36.8,13.9,8.3
2022-04-17,6.6,13.3,7.2
2022-04-18,0.3,18.3,7.8
2022-04-19,10.1,16.7,10.6
2022-04-20,6.4,18.9,10.6
2022-04-21,16.8,16.7,10.6
2022-04-22,10.700000000000001,15.0,10.0
2022-04-23,0.0,17.8,9.4
2022-04-24,0.0,16.1,10.0
2022-04-25,0.0,18.3,10.0
2022-04-26,0.0,15.6,9.4
2022-04-27,0.0,15.0,8.3
2022-04-28,0.0,13.9,8.9
2022-04-29,0.0,17.8,8.9
2022-04-30,0.0,15.6,10.6
2022-05-01,0.0,16.7,8.9
2022-05-02,0.0,16.1,9.4
2022-05-03,0.3,20.6,10.0
2022-05-04,0.0,17.8,9.4
2022-05-05,0.0,15.0,9.4
2022-05-06,2.0,18.3,11.7
2022-05-07,0.8,16.1,10.6
2022-05-08,0.0,13.9,9.4
2022-05-09,0.0,13.9,8.3
2022-05-10,0.0,12.8,8.3
2022-05-11,0.0,15.0,7.8
2022-05-12,0.0,14.4,8.9
2022-05-13,0.0,18.9,11.1
2022-05-14,0.0,20.6,11.1
2022-05-15,0.0,16.1,10.6
2022-05-16,0.0,15.0,10.6
2022-05-17,0.0,17.2,9.4
2022-05-18,0.0,25.0,10.0
2022-05-19,0.0,19.4,12.2
2022-05-20,0.0,20.6,10.0
2022-05-21,0.0,20.0,10.0
2022-05-22,0.0,19.4,10.0
2022-05-23,0.0,20.0,11.1
2022-05-24,0.0,26.1,11.1
2022-05-25,0.0,20.0,11.1
2022-05-26,0.0,16.7,11.1
2022-05-27,0.0,16.1,10.6
2022-05-28,0.8,17.8,11.1
2022-05-29,0.3,18.3,10.6
2022-05-30,0.0,17.2,10.6
2022-05-31,0.0,20.0,10.0
2022-06-01,0.0,18.9,10.0
2022-06-02,0.0,15.6,10.0
2022-06-03,0.3,17.8,11.1
2022-06-04,0.6,20.0,12.2
2022-06-05,25.7,20.6,12.8
2022-06-06,6.6,18.9,11.7
2022-06-07,0.0,16.1,11.1
2022-06-08,0.0,17.2,11.7
2022-06-09,0.0,25.6,11.1
2022-06-10,0.0,29.4,15.6
2022-06-11,0.0,23.3,13.9
2022-06-12,0.3,18.9,12.2
2022-06-13,0.3,19.4,11.7
2022-06-14,0.0,22.8,11.7
2022-06-15,0.0,17.2,11.1
2022-06-16,0.0,17.8,11.1
2022-06-17,0.0,17.8,11.1
2022-06-18,0.0,17.2,11.1
2022-06-19,0.0,21.7,11.7
2022-06-20,0.0,22.2,11.7
2022-06-21,0.0,33.3,15.0
2022-06-22,0.0,26.1,13.9
2022-06-23,0.0,19.4,11.1
2022-06-24,0.0,20.6,10.6
2022-06-25,0.0,17.2,12.2
2022-06-26,0.3,17.2,12.2
2022-06-27,0.3,17.2,12.2
2022-06-28,0.0,18.3,11.7
2022-06-29,0.0,15.6,11.7
2022-06-30,0.3,15.0,11.1
2022-07-01,1.6,15.6,11.1
2022-07-02,5.4,15.6,11.1
2022-07-03,1.9,16.1,11.7
2022-07-04,0.0,21.1,13.3
2022-07-05,0.0,21.1,16.7
2022-07-06,0.3,20.0,15.0
2022-07-07,0.3,17.8,12.8
2022-07-08,0.0,17.8,12.8
2022-07-09,0.0,17.8,12.2
2022-07-10,0.0,22.8,12.8
2022-07-11,0.0,18.9,13.3
2022-07-12,0.8,19.4,13.9
2022-07-13,2.9,18.9,13.9
2022-07-14,0.0,18.3,12.8
2022-07-15,0.0,17.8,11.7
2022-07-16,0.3,20.0,11.1
2022-07-17,0.0,17.2,12.8
2022-07-18,0.0,19.4,12.8
2022-07-19,0.0,16.7,11.1
2022-07-20,0.0,16.7,10.6
2022-07-21,0.0,15.6,10.6
2022-07-22,0.0,17.2,11.1
2022-07-23,0.5,16.7,11.1
2022-07-24,0.0,17.8,11.7
2022-07-25,0.3,17.8,11.7
2022-07-26,0.0,18.3,13.3
2022-07-27,1.1,16.7,12.8
2022-07-28,0.8999999999999999,15.6,12.2
2022-07-29,3.1,16.7,13.3
2022-07-30,2.6,17.8,13.9
2022-07-31,0.0,18.9,14.4
2022-08-01,0.0,20.6,13.9
2022-08-02,0.0,21.7,13.9
2022-08-03,0.5,18.9,13.9
2022-08-04,0.0,20.6,15.0
2022-08-05,0.0,21.1,15.6
2022-08-06,0.0,20.6,16.1
2022-08-07,0.0,20.0,16.1
2022-08-08,0.0,20.0,15.0
2022-08-09,0.0,21.1,15.6
2022-08-10,0.0,21.7,15.6
2022-08-11,0.0,20.0,15.6
2022-08-12,0.0,21.1,15.0
2022-08-13,0.0,21.7,13.9
2022-08-14,0.0,22.2,13.3
2022-08-15,0.0,22.2,13.3
2022-08-16,0.0,23.3,13.3
2022-08-17,0.0,20.0,12.8
2022-08-18,0.0,18.3,11.7
2022-08-19,0.3,18.9,12.8
2022-08-20,0.0,20.6,13.3
2022-08-21,0.0,21.1,12.8
2022-08-22,0.0,21.1,12.8
2022-08-23,0.0,22.2,13.9
2022-08-24,0.0,18.3,12.8
2022-08-25,0.0,20.0,13.9
2022-08-26,1.0,20.0,12.8
2022-08-27,0.8,21.1,12.8
2022-08-28,0.0,20.6,14.4
2022-08-29,0.0,19.4,15.0
2022-08-30,0.0,19.4,14.4
2022-08-31,0.0,18.9,14.4
2022-09-01,0.0,18.9,12.2
2022-09-02,0.3,20.0,12.2
2022-09-03,0.0,23.9,13.9
2022-09-04,0.0,27.8,13.9
2022-09-05,0.0,32.8,16.1
2022-09-06,0.0,36.7,17.8
2022-09-07,0.0,27.2,16.7
2022-09-08,0.0,30.6,16.7
2022-09-09,0.0,21.7,13.9
2022-09-10,0.0,20.0,15.0
2022-09-11,0.0,20.6,16.1
2022-09-12,0.0,18.9,15.0
2022-09-13,0.0,18.3,14.4
2022-09-14,0.0,21.1,14.4
2022-09-15,0.0,18.3,14.4
2022-09-16,0.0,20.0,14.4
2022-09-17,0.0,18.3,12.8
2022-09-18,18.6,18.9,15.0
2022-09-19,23.2,22.8,14.4
2022-09-20,0.0,22.8,14.4
2022-09-21,2.5,20.6,15.6
2022-09-22,0.0,23.3,13.9
2022-09-23,0.0,27.8,14.4
2022-09-24,0.0,24.4,15.0
2022-09-25,0.0,18.9,13.3
2022-09-26,0.0,16.1,13.3
2022-09-27,0.0,17.8,13.3
2022-09-28,0.0,17.8,13.9
2022-09-29,0.0,22.2,13.3
2022-09-30,0.0,23.3,13.3
2022-10-01,0.0,18.9,13.3
2022-10-02,0.0,20.6,15.6
2022-10-03,0.0,18.9,14.4
2022-10-04,0.0,17.2,13.3
2022-10-05,0.0,18.9,12.2
2022-10-06,0.3,19.4,11.7
2022-10-07,0.3,17.8,11.1
2022-10-08,0.3,16.1,11.7
2022-10-09,0.3,15.0,12.2
2022-10-10,0.3,16.7,11.7
2022-10-11,0.0,16.1,11.7
2022-10-12,0.0,17.8,12.8
2022-10-13,0.0,16.1,12.2
2022-10-14,0.0,16.7,11.7
2022-10-15,0.0,16.7,13.3
2022-10-16,0.0,18.3,13.9
2022-10-17,0.0,20.6,12.2
2022-10-18,0.0,26.1,14.4
2022-10-19,0.0,32.2,14.4
2022-10-20,0.0,19.4,11.7
2022-10-21,0.0,15.0,11.7
2022-10-22,0.8,17.8,12.8
2022-10-23,0.0,18.9,10.6
2022-10-24,0.0,21.1,11.7
2022-10-25,0.3,17.8,11.1
2022-10-26,0.0,18.3,10.0
2022-10-27,0.0,20.6,10.0
2022-10-28,0.0,17.2,10.6
2022-10-29,0.0,20.0,9.4
2022-10-30,0.0,18.9,11.7
2022-10-31,0.0,15.6,11.7
2022-11-01,17.299999999999997,14.4,10.0
2022-11-02,33.4,15.0,10.0
2022-11-03,2.3,15.6,7.8
2022-11-04,0.0,16.1,7.8
2022-11-05,2.1,16.1,11.7
2022-11-06,5.1,15.6,11.1
2022-11-07,12.3,15.6,9.4
2022-11-08,102.60000000000001,12.2,8.3
2022-11-09,15.8,15.0,7.8
2022-11-10,0.0,15.0,7.8
2022-11-11,0.0,15.6,7.8
2022-11-12,2.6,14.4,8.9
2022-11-13,0.0,16.1,8.3
2022-11-14,0.0,16.7,7.2
2022-11-15,0.0,18.9,8.3
2022-11-16,0.0,20.6,8.3
2022-11-17,0.0,17.2,8.3
2022-11-18,0.0,18.3,8.3
2022-11-19,0.0,17.2,8.9
2022-11-20,0.0,18.3,8.9
2022-11-21,0.0,17.2,8.3
2022-11-22,0.0,19.4,8.3
2022-11-23,0.0,20.0,8.9
2022-11-24,0.0,19.4,9.4
2022-11-25,0.0,19.4,9.4
2022-11-26,0.0,18.3,8.3
2022-11-27,0.0,17.8,8.3
2022-11-28,0.0,13.9,8.9
2022-11-29,0.0,14.4,7.2
2022-11-30,0.0,13.9,6.7
2022-12-01,54.900000000000006,11.7,7.2
2022-12-02,62.599999999999994,12.2,5.0
2022-12-03,20.6,9.4,6.7
2022-12-04,37.9,15.6,8.3
2022-12-05,29.0,14.4,10.6
2022-12-06,3.1,13.3,9.4
2022-12-07,1.0,15.0,7.2
2022-12-08,3.3,12.8,7.8
2022-12-09,5.8,12.8,7.2
2022-12-10,40.2,14.4,8.9
2022-12-11,60.2,11.7,6.7
2022-12-12,10.2,11.7,7.2
2022-12-13,0.0,13.3,5.6
2022-12-14,0.0,12.2,6.1
2022-12-15,0.0,15.0,7.2
2022-12-16,0.0,13.3,7.2
2022-12-17,0.0,13.3,6.1
2022-12-18,0.0,11.7,6.1
2022-12-19,0.0,7.8,4.4
2022-12-20,0.0,12.2,6.7
2022-12-21,0.0,13.3,7.2
2022-12-22,0.0,11.1,6.7
2022-12-23,0.0,13.3,7.8
2022-12-24,0.0,16.1,8.9
2022-12-25,0.0,15.6,8.3
2022-12-26,18.299999999999997,12.2,8.3
2022-12-27,179.3,15.6,10.6
2022-12-28,5.3999999999999995,13.9,8.3
2022-12-29,67.6,12.8,8.9
2022-12-30,143.3,16.1,11.1
2022-12-31,524.8,16.1,10.6
