day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08,WT11
2020-01-01,1.8333333333333333,1.8,27.015384615384615,15.046153846153846,4.5,5.8,1.0,,,1.0,
2020-01-02,2.9333333333333336,0.3,26.95,16.258333333333333,7.2,9.4,,,,,
2020-01-03,4.166666666666667,0.3,28.099999999999998,20.0,10.3,13.0,,,,,
2020-01-04,4.966666666666667,7.4,29.636363636363637,21.099999999999998,14.3,17.9,1.0,,,,
2020-01-05,5.033333333333334,28.3,25.907692307692308,13.576923076923077,10.3,13.4,,,,,
2020-01-06,3.233333333333333,0.0,22.861538461538462,11.923076923076923,7.2,9.4,,,,,
2020-01-07,1.9666666666666668,0.0,24.78333333333333,12.958333333333334,7.6,9.8,,,,,
2020-01-08,3.766666666666667,0.0,25.746153846153845,13.161538461538461,8.9,11.2,,,,,
2020-01-09,8.133333333333333,0.0,25.515384615384615,16.2,13.9,17.4,,,,,
2020-01-10,9.5,0.3,25.772727272727273,21.863636363636363,12.5,17.9,,,,,
2020-01-11,6.966666666666666,30.1,26.96923076923077,22.861538461538462,13.0,16.5,1.0,,,,
2020-01-12,5.633333333333333,1.7999999999999998,27.883333333333336,22.583333333333332,11.2,13.9,1.0,,,1.0,
2020-01-13,5.466666666666666,22.1,27.553846153846152,21.792307692307695,10.3,12.1,1.0,,,1.0,
2020-01-14,4.766666666666667,53.4,27.553846153846152,21.484615384615385,9.8,12.1,1.0,,,1.0,
2020-01-15,2.9333333333333336,2.6,27.515384615384615,17.907692307692308,8.1,9.8,,,,,
2020-01-16,2.066666666666667,0.0,27.5,17.716666666666665,6.7,8.9,,,,,
2020-01-17,5.066666666666666,24.099999999999998,26.838461538461537,17.73846153846154,12.5,15.2,1.0,,,,
2020-01-18,7.366666666666667,110.5,26.127272727272725,19.554545454545455,12.5,15.2,,,,,
2020-01-19,2.6666666666666665,0.3,26.808333333333334,16.866666666666667,6.7,9.8,1.0,,,,
2020-01-20,3.5,0.0,25.724999999999998,16.25,7.2,9.4,1.0,1.0,,,
2020-01-21,6.233333333333333,0.0,21.7,9.133333333333333,11.6,15.7,,,,,
2020-01-22,6.2,0.0,18.93076923076923,3.4166666666666665,11.6,14.8,1.0,,,,
2020-01-23,3.1666666666666665,36.0,20.646153846153844,8.638461538461538,9.4,11.2,1.0,1.0,,1.0,
2020-01-24,2.0666666666666664,261.1,25.191666666666666,14.866666666666667,6.3,8.9,1.0,1.0,,,
2020-01-25,2.533333333333333,4.8,26.025000000000002,15.683333333333335,5.8,7.6,1.0,,,,
2020-01-26,2.733333333333333,0.3,23.791666666666668,10.508333333333333,6.3,7.6,,,,,
2020-01-27,1.8666666666666665,0.0,23.83076923076923,11.407692307692308,6.3,8.9,,,,,
2020-01-28,1.9666666666666666,2.5,25.518181818181816,15.554545454545455,5.8,7.6,1.0,1.0,,,
2020-01-29,2.6,0.0,26.56153846153846,13.984615384615385,8.1,10.7,1.0,,,,
2020-01-30,3.3333333333333335,237.60000000000002,26.06153846153846,15.292307692307693,8.9,13.0,1.0,,1.0,,
2020-01-31,2.6333333333333333,76.0,25.607692307692307,14.653846153846153,7.6,9.8,1.0,1.0,1.0,,
2020-02-01,3.4,1087.8,25.13076923076923,16.207692307692305,10.7,13.9,1.0,,1.0,,
2020-02-02,4.2,175.4,22.316666666666666,11.35,9.8,12.5,,,,,
2020-02-03,1.6000000000000003,7.6,22.700000000000003,8.330769230769231,4.5,7.6,1.0,,,,
2020-02-04,2.2666666666666666,0.0,25.015384615384615,11.107692307692307,8.1,11.2,1.0,,,,
2020-02-05,3.4,0.0,26.891666666666666,16.875,8.9,13.0,,,,,
2020-02-06,6.133333333333333,0.0,27.946153846153848,19.96153846153846,11.6,21.5,,,,,
2020-02-07,4.166666666666667,178.0,27.176923076923078,18.376923076923077,11.6,15.7,1.0,,,,
2020-02-08,3.9,170.7,23.316666666666666,14.100000000000001,8.9,14.8,,,,,
2020-02-09,6.433333333333334,0.3,24.946153846153848,16.33076923076923,13.0,15.2,,,,,
