day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
2022-01-01,4.85,6.7,25.6,18.05,10.3,17.9,1.0,,,,,
2022-01-02,3.5,220.6,22.8,10.3,13.4,17.4,1.0,,1.0,,,
2022-01-03,6.8,166.0,10.3,-0.5,16.1,22.8,1.0,,,,,1.0
2022-01-04,2.9,0.3,10.3,-1.55,7.2,9.8,,,,,,1.0
2022-01-05,1.9,0.3,14.7,4.75,7.2,9.4,1.0,,,,,
2022-01-06,4.05,3.8,16.95,1.4,10.7,15.7,1.0,1.0,,,,1.0
2022-01-07,3.55,28.099999999999998,4.7,-2.4000000000000004,9.4,13.0,,,,,,
2022-01-08,3.45,0.0,11.1,-2.1,7.6,9.8,,,,,,
2022-01-09,3.1,25.3,17.75,6.1,9.8,13.4,1.0,,1.0,,,
2022-01-10,5.3,81.3,11.149999999999999,1.4,10.7,14.3,,,,,,
2022-01-11,2.15,0.0,10.6,-1.0,9.8,14.3,,,,,,
2022-01-12,0.85,0.0,12.75,-1.6,3.6,6.3,,,,,,
2022-01-13,3.3,0.0,16.15,1.15,9.4,14.3,,,,,,
2022-01-14,3.05,0.0,13.05,3.3499999999999996,8.1,10.7,,,,,,
2022-01-15,3.85,8.399999999999999,8.3,3.3000000000000003,10.7,13.9,1.0,,,,,
2022-01-16,6.8,148.1,4.4,1.1,16.1,23.7,1.0,,,1.0,,
2022-01-17,6.15,52.1,2.8,0.8500000000000001,12.5,17.0,,,,,,
2022-01-18,1.7,0.0,13.05,-1.85,8.9,11.6,,,,,,
2022-01-19,2.15,0.0,16.95,-0.20000000000000007,6.3,9.4,1.0,,,,,
2022-01-20,4.55,63.5,11.7,-0.25,9.4,12.5,1.0,,,,,
2022-01-21,3.25,6.4,2.5,-0.75,6.7,8.9,1.0,,,,1.0,
2022-01-22,1.7000000000000002,5.1,7.2,-1.85,5.4,7.6,1.0,,,,,
2022-01-23,2.75,0.0,11.399999999999999,-4.050000000000001,7.2,11.2,,,,,,
2022-01-24,2.55,0.0,15.6,-1.05,6.3,8.9,,,,,,
2022-01-25,2.5,0.0,15.850000000000001,5.25,8.1,9.8,,,,,,
2022-01-26,3.75,0.0,10.85,-1.3,8.9,11.2,,,,,,
2022-01-27,2.2,0.0,12.2,-1.05,7.2,9.8,,,,,,
2022-01-28,3.5999999999999996,0.5,11.1,-0.75,12.5,16.5,1.0,,,,,
2022-01-29,5.25,0.6,3.05,-3.5,13.0,17.4,1.0,,,,,1.0
2022-01-30,3.0,0.0,14.4,-3.75,8.9,13.9,,,,,,
2022-01-31,1.65,0.0,15.3,0.050000000000000044,5.4,7.6,,,,,,
2022-02-01,3.3499999999999996,0.0,15.850000000000001,-0.8,7.2,9.8,,,,,,1.0
2022-02-02,4.45,5.8,14.15,6.95,8.9,11.2,1.0,,,,,
2022-02-03,3.4,146.1,18.85,7.8,9.8,16.5,1.0,,1.0,,,
2022-02-04,4.9,500.59999999999997,17.75,1.1,10.7,13.9,1.0,,1.0,,,
2022-02-05,4.45,14.2,7.25,-1.85,10.7,14.8,,,,,,
2022-02-06,3.85,0.0,10.6,-1.6,9.8,11.2,,,,,,
2022-02-07,2.6,0.0,10.0,4.75,6.7,9.8,,,,,,
2022-02-08,3.0,0.0,12.8,1.15,8.9,11.2,,,,,,
