day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08
2021-01-01,3.966666666666667,0.0,28.175,17.375,10.3,12.5,1.0,,,
2021-01-02,2.866666666666667,0.0,28.6,19.6,8.9,11.2,1.0,,,
2021-01-03,2.6333333333333333,2.6,24.725,16.775,8.1,9.4,1.0,1.0,,
2021-01-04,1.8,24.4,20.125,7.625,6.7,8.1,,,,
2021-01-05,2.1,0.0,20.15,5.825,8.9,10.7,,,,
2021-01-06,1.4666666666666668,0.0,21.25,5.55,6.3,7.6,,,,
2021-01-07,2.5,0.0,22.200000000000003,7.75,9.4,11.2,,,,
2021-01-08,3.1999999999999997,29.3,21.0,8.2,11.2,14.8,1.0,,,1.0
2021-01-09,3.6,0.8,16.1,6.825,7.6,10.3,,,,
2021-01-10,1.5999999999999999,0.0,15.55,2.3499999999999996,6.3,8.1,,,,
2021-01-11,1.5666666666666664,0.0,20.425,6.1,8.1,11.2,1.0,,,
2021-01-12,2.266666666666667,0.0,21.225,10.825000000000001,7.2,9.4,,,,
2021-01-13,2.1,0.6,16.55,10.875,6.7,8.9,,,,
2021-01-14,7.933333333333334,5.7,16.25,7.225,6.7,8.5,1.0,1.0,,
2021-01-15,2.5,1.3,20.675,5.7,10.3,13.4,1.0,1.0,,
2021-01-16,2.566666666666667,17.1,20.15,6.800000000000001,9.8,13.0,,,,
2021-01-17,0.8333333333333334,0.0,16.799999999999997,4.175,5.4,7.6,1.0,,,1.0
2021-01-18,1.5,0.0,17.525,5.4,7.6,11.2,1.0,,,
2021-01-19,1.2666666666666666,0.0,20.55,4.025,5.4,6.7,,,,
2021-01-20,1.2,0.0,22.075,5.125,5.4,8.1,1.0,,,
2021-01-21,2.1333333333333333,0.0,24.175,7.65,7.6,9.4,,,,
2021-01-22,2.3000000000000003,0.0,25.875,9.85,9.4,11.2,,,,1.0
2021-01-23,1.7333333333333334,3.3,22.625,14.175,6.7,8.5,1.0,,,
2021-01-24,1.4666666666666668,44.7,22.625,14.175,5.8,7.6,,,,
2021-01-25,2.2666666666666666,0.3,27.375,15.15,8.1,11.2,1.0,1.0,,
2021-01-26,1.7666666666666668,0.0,26.525,15.825,7.2,8.9,1.0,1.0,,
