day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,WT11
2020-01-01,4.5,904.0,8.200000000000001,2.6863636363636365,11.2,14.8,1.0,,,,,,
2020-01-02,3.2999999999999994,571.5,5.840909090909091,0.9136363636363637,9.4,12.5,1.0,,,,,,
2020-01-03,3.3333333333333335,416.5,11.177272727272728,2.85,12.5,17.4,1.0,,,,,1.0,
2020-01-04,5.1,667.2,6.1909090909090905,0.9681818181818183,13.4,17.0,1.0,,,,,,
2020-01-05,4.8,364.7,3.4954545454545456,0.740909090909091,11.6,14.8,1.0,,,,,,
2020-01-06,5.933333333333334,1452.5,6.423809523809524,0.8571428571428571,11.6,14.8,1.0,,,,,,
2020-01-07,5.466666666666666,1489.2,8.159090909090908,3.659090909090909,12.5,15.2,1.0,,,,,,
2020-01-08,3.6999999999999997,415.0,4.809523809523809,-1.6333333333333333,10.7,13.9,1.0,,,,,,
2020-01-09,1.6333333333333335,190.9,1.15,-3.15,4.5,7.6,1.0,,,,,,
2020-01-10,4.5,405.1,1.981818181818182,-2.2454545454545456,10.3,15.2,1.0,,,,,,
2020-01-11,4.7,1358.3,3.15,0.11818181818181815,10.3,13.9,1.0,,,,,,
2020-01-12,5.433333333333334,940.5,2.6,-2.290909090909091,11.2,16.5,1.0,,,,,,
2020-01-13,3.1666666666666665,440.4,-0.05909090909090902,-3.840909090909091,7.2,8.9,1.0,,,,,,
2020-01-14,3.466666666666667,324.7,-1.7363636363636366,-5.254545454545454,10.7,15.2,1.0,,,,,,
2020-01-15,5.566666666666666,156.7,-0.75,-5.890909090909091,11.6,15.2,,,,,,,1.0
2020-01-16,3.266666666666667,232.1,1.8909090909090909,-3.2318181818181815,7.2,9.8,,,,,,,
2020-01-17,2.1666666666666665,77.5,1.0454545454545454,-3.3318181818181816,6.3,8.9,,,,,,,
2020-01-18,3.266666666666667,550.5,3.9181818181818184,-0.9954545454545456,7.6,10.7,1.0,,,,,,
2020-01-19,2.1666666666666665,107.19999999999999,6.9,1.2545454545454546,8.9,12.1,,,,,,,
2020-01-20,1.4666666666666668,53.2,7.040909090909091,2.909090909090909,7.2,9.4,,,,,,,
2020-01-21,5.066666666666666,402.5,6.454545454545454,2.25,11.6,17.4,1.0,,,,,,
2020-01-22,3.233333333333333,1010.8,5.195454545454545,2.2636363636363637,9.4,11.6,1.0,,,,,,
2020-01-23,3.8000000000000003,1277.9,7.354545454545455,3.9227272727272724,10.7,13.0,1.0,,,,,,
2020-01-24,3.5666666666666664,1419.8,7.404545454545455,4.040909090909091,9.4,12.5,1.0,,,,,,
2020-01-25,1.5999999999999999,684.9,7.2681818181818185,3.2681818181818185,5.4,7.6,1.0,,,,,,
2020-01-26,4.133333333333333,545.5,7.418181818181818,3.0954545454545452,9.8,13.4,1.0,,,,,,
2020-01-27,3.1999999999999997,441.4,6.345454545454545,2.140909090909091,7.2,10.3,1.0,,,,,,
2020-01-28,2.6333333333333333,1392.2,5.9363636363636365,2.5772727272727276,8.1,10.7,1.0,,,,,,
2020-01-29,2.3000000000000003,451.5,5.818181818181818,2.536363636363636,9.4,11.6,1.0,1.0,,,,,
2020-01-30,2.533333333333333,471.6,7.2714285714285705,0.9714285714285713,6.7,8.9,1.0,,,,,1.0,
2020-01-31,6.1000000000000005,1164.7,11.209090909090909,4.8,13.9,18.8,1.0,,,,,,
2020-02-01,5.1,2259.4,11.518181818181818,0.19999999999999998,12.5,17.4,1.0,,,,,,
2020-02-02,2.3000000000000003,304.1,4.159090909090909,-2.3545454545454545,6.3,8.9,,,,,,,
