day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
2020-01-01,6.9,0.5,5.25,1.1,13.0,18.8,,,,,,,,
2020-01-02,5.6,0.0,6.9,-0.55,9.4,12.5,,,,,,,,
2020-01-03,3.2,0.0,9.7,3.35,7.6,9.4,,,,,,,,
2020-01-04,2.4,3.3,9.15,4.7,6.3,8.1,1.0,,,,,,1.0,
2020-01-05,7.4,17.3,6.1,0.55,13.9,18.3,,,,,,,,
2020-01-06,3.0,0.0,4.15,-4.15,9.4,13.4,,,,,,,,
2020-01-07,4.1,0.0,3.65,-1.65,9.8,11.6,,,,,,,,
2020-01-08,6.3,1.0,6.1,-2.45,13.4,17.9,,,,,,,,
2020-01-09,5.9,0.0,3.3499999999999996,-6.35,11.6,16.1,,,,,,,,
2020-01-10,6.2,0.0,5.85,-4.4,13.0,16.1,,,,,,,,
2020-01-11,8.1,0.0,16.4,4.7,17.4,21.5,,,,,,,,
2020-01-12,9.3,2.1,21.35,7.75,16.1,19.7,1.0,,,,,,1.0,
2020-01-13,4.1,0.3,14.149999999999999,1.6500000000000001,7.6,9.4,1.0,,,,,,1.0,
2020-01-14,2.5,0.8,5.0,1.95,4.0,5.4,,,,,,,,
2020-01-15,3.8,0.3,8.6,2.8,8.1,10.3,,,,,,,,
2020-01-16,6.8,6.3,8.850000000000001,-0.8,14.8,20.1,1.0,,,,,,1.0,
2020-01-17,9.0,0.8,2.85,-9.100000000000001,13.9,18.8,,,,,,,,
2020-01-18,3.9,7.1,-2.5,-10.8,8.9,10.7,1.0,,,,,,,
2020-01-19,6.0,9.1,1.9500000000000002,-7.449999999999999,11.2,14.8,1.0,,,,,1.0,1.0,
2020-01-20,6.2,0.5,2.85,-8.25,10.3,13.4,,,,,,,,
2020-01-21,3.4,0.0,-2.1500000000000004,-9.15,8.1,10.3,,,,,,,,
2020-01-22,2.2,0.0,0.30000000000000004,-9.149999999999999,5.8,6.7,,,,,,,,
2020-01-23,3.3,0.0,6.4,-7.449999999999999,7.2,8.5,,,,,,,,
2020-01-24,3.1,0.0,8.9,-2.5,6.3,7.2,,,,,,,,
