day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08
2023-01-01,1.2,37.4,21.4,10.0,5.8,8.5,1.0,1.0,,1.0
2023-01-02,0.8999999999999999,18.200000000000003,21.1,8.05,4.5,6.7,1.0,1.0,,
2023-01-03,2.95,105.7,21.1,15.0,10.3,20.1,1.0,,1.0,
2023-01-04,2.95,949.0,21.1,9.75,9.4,13.9,1.0,,1.0,
2023-01-05,3.05,36.699999999999996,16.7,6.3500000000000005,8.9,12.1,1.0,1.0,,
2023-01-06,2.8499999999999996,0.0,14.45,2.8,8.1,10.3,,,,
2023-01-07,0.85,0.0,18.35,1.65,3.6,5.8,,,,
2023-01-08,2.15,12.0,16.95,8.3,7.6,11.2,1.0,,,
2023-01-09,3.45,89.4,12.5,4.699999999999999,8.9,11.2,,,,
2023-01-10,1.75,0.3,16.95,1.1,5.8,7.6,1.0,,,
2023-01-11,1.4,0.0,18.6,4.449999999999999,8.9,11.6,,,,
2023-01-12,4.2,33.2,21.1,11.1,17.4,25.5,1.0,,1.0,
2023-01-13,6.75,161.4,11.399999999999999,2.5,11.6,17.0,1.0,,,
2023-01-14,6.800000000000001,0.8,6.95,-0.25,13.4,20.1,,,,
2023-01-15,1.35,0.0,14.15,-1.85,7.2,9.8,,,,
2023-01-16,1.5999999999999999,0.0,16.7,-0.5,6.3,8.9,,,,
2023-01-17,2.6,27.4,16.1,9.7,8.1,10.3,1.0,1.0,,
2023-01-18,1.9000000000000001,63.6,18.6,13.600000000000001,6.3,9.4,1.0,1.0,,
2023-01-19,4.6,14.0,22.5,11.95,10.3,17.0,1.0,,,
2023-01-20,4.75,17.599999999999998,15.0,5.85,9.4,13.4,,,,
2023-01-21,3.0,2.1,10.6,3.6,6.7,9.4,,,,
2023-01-22,3.2,431.7,8.05,4.4,9.4,11.2,1.0,,1.0,1.0
2023-01-23,4.1,39.1,8.9,0.04999999999999993,11.2,14.3,1.0,,,
2023-01-24,2.5,0.3,12.5,-2.65,6.7,8.9,1.0,,,
2023-01-25,5.05,299.8,18.3,5.6,11.2,17.4,1.0,,1.0,1.0
2023-01-26,4.2,8.0,9.7,1.9500000000000002,9.8,14.3,,,,
2023-01-27,2.55,0.0,11.1,-1.05,7.2,11.6,,,,
2023-01-28,1.2,0.0,14.7,-1.35,5.4,7.2,,,,
2023-01-29,1.6,26.9,13.350000000000001,4.75,5.8,9.8,1.0,,,
2023-01-30,1.55,243.7,15.850000000000001,9.15,5.8,7.2,1.0,,,
2023-01-31,2.4,5.300000000000001,19.4,12.5,12.5,13.9,1.0,,,1.0
2023-02-01,2.9,18.0,14.45,8.35,6.7,9.4,1.0,,,
2023-02-02,2.05,70.0,10.0,7.25,6.7,9.4,1.0,,,
2023-02-03,5.3,173.9,9.4,1.4,11.2,15.2,1.0,,,
2023-02-04,2.65,0.0,10.6,-2.1,7.2,11.2,,,,
2023-02-05,2.1,0.0,17.5,1.1,6.7,10.3,,,,
2023-02-06,1.9,0.0,18.6,4.449999999999999,6.3,8.5,,,,
2023-02-07,1.5,0.0,20.3,2.5,5.8,7.2,,,,
2023-02-08,1.95,0.5,22.8,10.25,5.8,8.5,,,,
2023-02-09,3.55,14.799999999999999,20.6,11.149999999999999,9.4,16.1,1.0,,,
2023-02-10,2.85,177.20000000000002,15.850000000000001,8.850000000000001,6.7,9.8,1.0,,,
2023-02-11,6.25,22.200000000000003,13.600000000000001,5.6,15.7,21.5,1.0,,,
2023-02-12,4.6,120.6,8.600000000000001,4.7,13.9,17.4,1.0,,,1.0
2023-02-13,3.05,8.0,18.9,1.4,8.1,10.3,1.0,,,
2023-02-14,2.7,0.6,21.1,2.5,7.6,10.7,,,,
2023-02-15,2.2,18.8,17.5,11.95,7.2,10.7,1.0,,,
2023-02-16,3.05,28.4,23.85,10.8,8.1,12.5,1.0,,,1.0
2023-02-17,7.550000000000001,281.7,20.6,0.8500000000000001,17.9,32.2,1.0,,,
2023-02-18,2.3,9.5,14.7,-1.85,8.9,11.6,,,,
2023-02-19,1.95,0.0,18.3,5.0,6.7,10.3,,,,
2023-02-20,3.7,0.0,25.0,6.1000000000000005,10.3,16.5,,,,
2023-02-21,2.85,19.9,20.55,15.0,7.6,12.1,1.0,,,
2023-02-22,4.05,10.1,27.5,14.15,10.7,16.5,1.0,,,
2023-02-23,3.5,1.3,25.3,20.0,9.4,13.4,1.0,,,
2023-02-24,2.35,11.1,25.0,12.75,6.7,8.5,1.0,,,
2023-02-25,2.55,126.2,17.75,13.05,7.6,9.8,1.0,,,
2023-02-26,3.3,4.0,24.15,14.45,8.9,12.5,,,,
2023-02-27,3.65,0.3,23.9,13.35,9.8,14.8,1.0,,,
2023-02-28,2.85,3.0,26.7,13.1,7.6,10.3,,,,
2023-03-01,2.2,0.0,24.15,12.5,7.6,11.6,1.0,,,1.0
2023-03-02,2.8499999999999996,31.4,21.95,15.3,9.8,13.9,1.0,,,
2023-03-03,4.35,82.7,25.3,13.6,13.9,21.9,1.0,,1.0,
2023-03-04,2.5,86.2,21.4,9.45,7.2,10.7,1.0,,,
2023-03-05,2.55,0.0,22.2,7.2,8.1,13.4,,,,
2023-03-06,1.8499999999999999,0.0,25.85,8.9,5.8,8.9,,,,
2023-03-07,3.5,0.0,26.1,13.600000000000001,10.3,13.4,1.0,,,
2023-03-08,2.75,0.0,18.9,8.3,8.9,11.6,,,,1.0
2023-03-09,2.25,19.2,16.7,9.7,6.7,9.4,1.0,,,
2023-03-10,3.85,167.7,19.15,9.45,9.8,13.9,1.0,,,
2023-03-11,2.6,19.2,18.05,4.15,7.6,12.5,,,,
2023-03-12,3.6,354.2,14.15,8.3,11.6,15.2,1.0,,1.0,
2023-03-13,5.65,54.599999999999994,13.9,3.3499999999999996,10.7,14.8,1.0,,,
2023-03-14,4.7,0.0,10.3,-0.75,10.3,14.8,,,,
2023-03-15,1.55,0.0,16.7,-0.75,7.6,11.6,,,,
2023-03-16,2.5,0.0,21.1,0.5999999999999999,6.7,11.2,,,,1.0
2023-03-17,4.35,39.6,18.05,6.65,10.7,14.8,1.0,,1.0,
2023-03-18,6.1,142.6,11.95,2.2,10.7,14.3,,,,
2023-03-19,5.75,0.0,7.5,-0.75,10.3,14.3,,,,
2023-03-20,2.45,0.0,12.8,-2.4000000000000004,7.6,10.7,,,,
2023-03-21,2.1,0.0,16.95,0.050000000000000044,5.8,8.9,,,,
2023-03-22,1.9000000000000001,0.0,21.1,6.1,6.7,7.6,,,,
2023-03-23,2.25,1.1,26.95,8.6,7.6,12.1,1.0,1.0,,1.0
2023-03-24,3.3499999999999996,0.0,25.85,14.15,9.4,12.5,1.0,,,
2023-03-25,4.199999999999999,220.79999999999998,28.6,10.8,12.5,17.9,1.0,,1.0,
2023-03-26,1.65,111.2,22.2,15.0,9.4,14.8,1.0,,1.0,
2023-03-27,3.2,454.40000000000003,26.7,15.85,7.6,13.4,1.0,,1.0,1.0
2023-03-28,3.4000000000000004,6.6,23.6,10.55,10.3,14.8,,,,
2023-03-29,2.45,0.0,18.3,6.949999999999999,7.6,11.6,,,,
2023-03-30,1.4,0.0,23.05,5.0,5.4,6.7,,,,1.0
2023-03-31,3.95,0.0,25.6,10.8,8.9,13.0,,,,
