day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08
2019-01-01,1.0999999999999999,0.0,27.775,16.55,5.8,7.2,1.0,1.0,,
2019-01-02,1.2,0.0,28.175,16.375,5.8,8.9,1.0,,,
2019-01-03,2.033333333333333,0.0,27.9,17.225,6.3,8.5,1.0,,,
2019-01-04,3.8333333333333335,8.6,28.45,17.225,14.3,21.0,1.0,,,
2019-01-05,3.1,131.5,24.175,13.05,9.4,11.6,,,,
2019-01-06,1.3666666666666665,0.0,21.133333333333333,8.133333333333333,5.4,6.3,,,,
2019-01-07,1.4666666666666668,0.3,24.05,9.575,5.4,8.5,1.0,1.0,,
2019-01-08,1.0333333333333332,0.0,26.400000000000002,10.975000000000001,5.8,7.2,1.0,,,
2019-01-09,2.6666666666666665,0.0,24.05,11.549999999999999,8.1,10.3,,,,
2019-01-10,3.1333333333333333,0.0,19.45,5.825,8.1,9.8,,,,
2019-01-11,2.766666666666667,0.0,20.733333333333334,6.800000000000001,8.1,13.0,,,,
2019-01-12,2.1999999999999997,0.0,24.05,8.899999999999999,8.1,10.7,,,,
2019-01-13,2.1999999999999997,0.0,25.7,13.35,7.6,10.3,1.0,,,
2019-01-14,2.4,0.0,23.174999999999997,11.8,6.7,9.8,,,,
2019-01-15,2.3333333333333335,0.0,17.5,7.625,6.7,8.5,,,,
2019-01-16,2.0,0.0,15.45,5.7,6.7,7.6,,,,
2019-01-17,1.2666666666666666,0.0,19.3,5.0,5.4,6.3,1.0,,,
2019-01-18,0.7333333333333334,0.0,23.6,6.375,4.5,5.4,,,,
2019-01-19,2.2666666666666666,0.0,25.55,8.6,8.9,13.0,1.0,,,
2019-01-20,5.7,177.7,23.05,7.775,13.4,17.4,1.0,,,
2019-01-21,2.7999999999999994,0.0,17.925,2.75,8.1,10.3,,,,
2019-01-22,3.0333333333333337,0.0,20.15,4.45,10.3,13.9,,,,
2019-01-23,3.733333333333333,0.5,24.3,9.85,10.3,13.0,1.0,,,
2019-01-24,4.966666666666666,261.2,24.725,12.925,13.9,20.1,1.0,,1.0,
2019-01-25,3.1333333333333333,100.5,20.525,6.4,8.9,10.3,,,,
2019-01-26,3.5333333333333337,0.0,17.225,6.95,9.4,11.6,,,,
2019-01-27,4.566666666666666,205.3,15.825,7.925000000000001,11.2,14.3,,,,
2019-01-28,3.233333333333333,942.5,13.75,6.8,9.8,11.6,,,,
2019-01-29,1.4000000000000001,0.0,17.625,4.324999999999999,6.3,8.5,,,,
2019-01-30,2.966666666666667,0.0,16.8,4.85,7.6,9.4,,,,
2019-01-31,3.0666666666666664,0.0,17.325,5.425,9.4,11.2,,,,
2019-02-01,1.9666666666666668,0.5,20.15,10.4,6.7,8.1,,,,
2019-02-02,2.033333333333333,3.1,24.45,14.433333333333332,6.7,7.6,,,,
2019-02-03,1.2666666666666666,3.2,24.05,16.3,6.3,7.6,1.0,1.0,,
2019-02-04,1.6000000000000003,8.6,22.475,13.2,5.4,5.8,1.0,,,
2019-02-05,0.9666666666666668,0.3,23.5,9.85,5.8,7.2,1.0,,,
2019-02-06,1.0,0.0,26.8,10.275,5.4,8.9,,,,
2019-02-07,1.2666666666666666,0.0,27.925,11.95,6.7,8.5,1.0,1.0,,
2019-02-08,1.0,0.0,27.9,13.05,5.4,7.2,1.0,,,
2019-02-09,3.6666666666666665,5.6,26.95,13.775,11.2,14.3,1.0,,,
2019-02-10,3.233333333333333,192.3,23.6,16.1,8.9,11.6,1.0,,,
2019-02-11,2.1,172.1,25.424999999999997,15.7,7.2,9.8,1.0,1.0,,
2019-02-12,3.0,5.699999999999999,29.4,18.05,11.2,14.3,1.0,,1.0,
2019-02-13,2.6,267.0,26.125,12.05,10.3,14.8,1.0,,1.0,
2019-02-14,2.4,42.0,21.125,7.1,8.1,9.8,,,,
2019-02-15,1.1333333333333333,0.0,25.3,8.35,5.4,7.6,,,,
2019-02-16,2.066666666666667,0.0,27.075,11.675,8.9,10.7,,,,
2019-02-17,40.6,0.0,28.325,14.174999999999999,7.6,9.8,1.0,,,
