day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08
2023-01-01,2.9,0.3,26.125,14.15,7.2,9.8,1.0,1.0,,1.0
2023-01-02,5.5,17.3,25.0,19.725,11.6,17.0,1.0,,1.0,
2023-01-03,3.3000000000000003,206.6,25.55,13.2,8.9,13.9,1.0,,1.0,
2023-01-04,1.8333333333333333,10.700000000000001,23.6,8.625,7.2,9.8,,,,
2023-01-05,1.4666666666666668,0.0,22.925,6.525,5.8,8.1,,,,
2023-01-06,3.3333333333333335,0.0,25.675,8.475,9.4,13.0,,,,
2023-01-07,2.3333333333333335,41.1,26.8,12.5,7.2,9.8,1.0,1.0,1.0,
2023-01-08,3.6,1772.9,22.775,10.95,10.3,13.0,1.0,,1.0,
2023-01-09,2.6999999999999997,66.8,21.95,8.6,6.7,9.4,1.0,,,
2023-01-10,2.9,0.0,23.75,12.775,7.2,9.8,1.0,1.0,,
2023-01-11,5.866666666666667,0.0,26.975,17.35,11.6,15.7,,,,
2023-01-12,6.233333333333333,13.9,23.2,11.8,11.2,15.2,,,,
2023-01-13,4.2,0.0,17.65,5.425,9.8,13.9,,,,
2023-01-14,2.8000000000000003,0.0,17.225,1.9250000000000003,7.2,12.1,,,,
2023-01-15,4.433333333333334,0.0,21.525,7.925,10.7,15.2,1.0,,,
2023-01-16,3.466666666666667,0.0,24.175,15.674999999999999,10.3,13.4,1.0,1.0,,1.0
2023-01-17,3.466666666666667,4.5,26.25,17.625,7.6,10.7,1.0,,,1.0
2023-01-18,3.5666666666666664,5.5,26.25,12.925,12.5,17.4,1.0,,,1.0
2023-01-19,3.033333333333333,69.1,22.9,8.475,8.9,12.5,1.0,,,
2023-01-20,4.3999999999999995,6.1,15.7,9.175,9.4,11.6,1.0,,,1.0
2023-01-21,3.733333333333333,163.29999999999998,12.5,9.025,9.8,12.5,1.0,,1.0,
2023-01-22,3.6999999999999997,153.4,15.55,5.825,8.9,12.1,,,,
2023-01-23,3.5666666666666664,0.6,15.7,2.225,7.6,10.3,,,,
2023-01-24,6.266666666666667,295.8,16.825,6.800000000000001,17.9,25.9,1.0,1.0,1.0,
2023-01-25,4.666666666666667,3087.3,13.6,3.1999999999999997,10.3,17.9,,,,
2023-01-26,1.6333333333333335,1.2,13.725,1.55,6.7,9.4,1.0,,,1.0
2023-01-27,2.1,0.0,14.0,1.525,5.8,8.1,1.0,,,
2023-01-28,4.466666666666666,86.0,20.0,10.825000000000001,10.7,15.7,1.0,,,
2023-01-29,3.5666666666666664,793.4,22.375,12.5,11.2,16.1,1.0,1.0,1.0,1.0
2023-01-30,4.966666666666666,945.8000000000001,14.85,4.15,7.6,12.1,1.0,1.0,,
2023-01-31,5.166666666666667,15.3,7.1,2.9,8.9,12.5,1.0,,,
2023-02-01,4.633333333333334,145.6,5.675,2.925,9.4,12.5,1.0,,,
2023-02-02,4.3,336.8,5.574999999999999,3.45,8.1,11.2,1.0,,,
2023-02-03,3.0,68.1,12.925,3.875,8.1,11.6,1.0,,,
2023-02-04,2.433333333333333,0.3,17.225,2.225,7.2,10.3,1.0,,,
2023-02-05,2.1333333333333333,0.0,21.8,6.675,5.8,8.9,1.0,1.0,,
2023-02-06,4.6,0.0,23.175,10.825,10.7,13.9,1.0,1.0,,
2023-02-07,4.8999999999999995,0.8,23.875,14.15,12.5,15.7,,,,
2023-02-08,5.1000000000000005,88.5,25.425,9.475,11.2,16.1,1.0,,1.0,
2023-02-09,1.3333333333333333,415.3,23.2,5.0,6.3,8.5,1.0,1.0,,
2023-02-10,4.666666666666667,3.3,16.95,5.975,10.7,16.1,,,,
2023-02-11,4.2,0.0,13.725,3.75,10.3,14.3,,,,
2023-02-12,1.5,0.0,17.075,2.775,6.3,8.1,1.0,,,
2023-02-13,2.6,0.0,21.925,4.85,8.9,12.5,1.0,,,1.0
2023-02-14,5.066666666666666,20.5,25.7,12.8,11.2,17.0,1.0,,,1.0
2023-02-15,4.366666666666666,128.9,25.7,17.9,9.4,12.1,1.0,,,1.0
2023-02-16,6.633333333333333,47.0,22.65,10.275,12.5,17.0,1.0,,,
2023-02-17,5.666666666666667,7.7,15.0,2.5,13.0,18.8,,,,
2023-02-18,2.1999999999999997,0.5,13.075,1.55,8.9,10.3,,,,
2023-02-19,2.0,0.0,21.375,5.3,6.7,9.4,,,,
2023-02-20,4.433333333333334,0.8,25.7,12.799999999999999,9.8,13.4,1.0,,,
2023-02-21,5.966666666666666,3.8000000000000003,27.925,19.475,11.6,16.1,,,,
2023-02-22,5.233333333333333,11.4,27.65,20.825,10.7,16.1,1.0,,,1.0
2023-02-23,3.4333333333333336,93.8,28.475,20.7,8.1,10.3,1.0,,,1.0
2023-02-24,3.266666666666667,10.9,26.95,19.6,7.2,9.8,1.0,,,1.0
2023-02-25,3.3333333333333335,7.3,27.525,18.2,8.1,10.7,1.0,,,1.0
2023-02-26,5.433333333333334,1.5,28.05,21.275,10.7,14.8,1.0,,,
2023-02-27,4.3999999999999995,0.0,28.474999999999998,16.8,10.3,17.0,,,,1.0
2023-02-28,3.6999999999999997,1.0,29.025,15.8,8.9,12.1,1.0,1.0,,1.0
2023-03-01,4.733333333333333,0.0,29.3,21.1,11.6,17.0,1.0,,,1.0
2023-03-02,5.466666666666666,4.3,26.525,19.3,13.0,18.8,1.0,,,1.0
2023-03-03,5.2,54.8,23.325,11.8,13.0,19.2,,,,
2023-03-04,1.6666666666666667,0.0,26.525,8.325,6.3,7.6,1.0,,,
2023-03-05,2.433333333333333,0.0,26.125,10.15,7.2,11.6,1.0,1.0,,1.0
2023-03-06,1.5666666666666664,0.3,27.625,13.325,7.6,9.8,1.0,1.0,,1.0
2023-03-07,3.0666666666666664,0.0,28.175,18.475,7.6,10.3,1.0,,,1.0
2023-03-08,2.9,1.2,29.325,18.625,8.1,12.5,1.0,1.0,,1.0
2023-03-09,3.1333333333333333,0.0,29.725,17.625,9.4,12.1,,,,
2023-03-10,2.2333333333333334,0.3,27.075000000000003,16.675,7.2,8.9,1.0,,,
2023-03-11,5.033333333333333,0.0,29.725,15.275,11.2,16.1,1.0,,,
2023-03-12,6.0,0.0,28.049999999999997,15.825,11.6,15.7,,,,1.0
2023-03-13,4.933333333333334,0.0,23.75,11.7,11.2,15.7,,,,1.0
2023-03-14,4.3999999999999995,0.0,22.2,7.75,9.8,13.4,,,,1.0
2023-03-15,4.533333333333334,0.0,21.125,7.675,9.8,14.3,,,,1.0
2023-03-16,5.233333333333333,15.2,23.049999999999997,14.3,12.5,17.9,1.0,,1.0,
2023-03-17,6.5,1556.5,21.4,7.35,14.3,20.6,1.0,,1.0,
2023-03-18,4.233333333333333,90.1,14.85,8.325,8.9,12.5,,,,
2023-03-19,3.1333333333333333,19.3,15.025,4.725,9.8,14.8,,,,
2023-03-20,4.533333333333333,0.0,14.425,3.5,9.8,14.3,,,,
2023-03-21,5.933333333333333,5.7,21.4,10.975,12.5,16.5,1.0,,,
2023-03-22,5.066666666666666,5.2,27.2,16.700000000000003,9.8,14.3,1.0,,,1.0
2023-03-23,5.3,0.0,29.15,21.25,10.7,16.1,1.0,,,
2023-03-24,3.8,4.4,26.525,20.55,8.9,14.8,1.0,1.0,,
2023-03-25,1.8666666666666665,44.4,28.325,15.975,6.3,9.8,1.0,1.0,,
2023-03-26,2.433333333333333,5.7,27.475,13.2,8.1,11.2,1.0,1.0,,1.0
2023-03-27,2.6,36.9,25.825,18.325,6.7,8.5,1.0,1.0,1.0,1.0
2023-03-28,5.466666666666666,101.4,25.55,17.225,12.5,17.9,,,,
2023-03-29,3.6999999999999997,3.3,21.8,14.15,7.6,11.2,,,1.0,
2023-03-30,5.166666666666667,11.1,24.025,15.125,11.6,15.2,1.0,,,1.0
2023-03-31,5.466666666666666,0.5,27.775,21.4,16.5,26.8,1.0,,,
2023-04-01,2.3333333333333335,5.5,30.575000000000003,18.325000000000003,7.2,12.5,1.0,1.0,,
2023-04-02,4.3999999999999995,0.0,29.425,17.625,9.8,14.3,1.0,,,
2023-04-03,4.766666666666667,0.0,31.0,21.775,9.4,14.3,1.0,,,1.0
2023-04-04,5.6000000000000005,0.3,29.15,21.525,11.2,15.7,,,,
2023-04-05,5.166666666666667,44.7,27.35,16.125,13.4,17.4,1.0,,1.0,1.0
2023-04-06,5.566666666666666,820.8,20.85,13.200000000000001,13.9,20.6,1.0,,1.0,
2023-04-07,4.666666666666667,1376.1,19.025,13.025,10.3,13.4,1.0,,1.0,
2023-04-08,3.233333333333333,500.59999999999997,23.625,12.475,6.7,10.3,1.0,,,
2023-04-09,2.733333333333333,3.9000000000000004,22.625,14.175,6.7,9.8,1.0,,,
2023-04-10,2.8333333333333335,0.5,21.25,14.45,6.3,8.5,,,,
2023-04-11,3.233333333333333,0.0,24.325000000000003,14.45,7.6,12.1,1.0,,,
2023-04-12,2.2666666666666666,14.2,25.275,12.8,11.6,15.7,1.0,,1.0,
2023-04-13,1.7,108.39999999999999,26.125,11.675,8.1,10.7,1.0,1.0,,
2023-04-14,3.6666666666666665,0.3,26.125,13.875,9.4,12.5,1.0,,,
2023-04-15,3.5666666666666664,156.3,30.150000000000002,20.575,11.6,19.7,1.0,,1.0,
2023-04-16,4.633333333333333,25.2,26.525,13.475,10.7,16.5,,,,
2023-04-17,3.1,0.0,26.8,9.85,7.6,11.6,,,,
2023-04-18,3.8333333333333335,12.0,28.075000000000003,14.3,11.2,15.7,1.0,,1.0,
2023-04-19,4.866666666666666,50.6,27.775,16.65,10.7,14.8,1.0,,,
2023-04-20,4.7,57.6,26.4,16.8,13.4,20.6,1.0,,1.0,
2023-04-21,3.3000000000000003,1831.2,26.275000000000002,16.1,13.0,17.4,1.0,,1.0,
2023-04-22,4.766666666666667,2.7,26.125,13.600000000000001,11.2,15.2,,,,
2023-04-23,5.1000000000000005,8.3,20.525,14.15,10.3,13.9,,,1.0,
2023-04-24,4.2,57.9,22.225,12.625,8.9,11.6,,,,
2023-04-25,4.6000000000000005,3.4000000000000004,25.425,15.275,10.7,12.5,,,,
2023-04-26,5.033333333333334,8.4,27.5,17.35,10.3,17.0,1.0,,,
2023-04-27,3.4333333333333336,1055.8,25.675,14.85,11.6,14.3,1.0,,1.0,
2023-04-28,3.866666666666667,57.2,28.05,13.625,13.9,21.9,1.0,,1.0,
2023-04-29,5.566666666666666,434.1,23.2,13.45,12.5,17.4,,,,
2023-04-30,3.466666666666667,0.3,29.3,11.25,7.2,9.8,,,,
2023-05-01,2.3000000000000003,0.0,29.125,12.65,6.7,9.4,,,,
2023-05-02,2.0,0.3,28.2,17.475,6.7,9.8,1.0,1.0,,1.0
2023-05-03,2.4,0.0,29.025,17.625,7.6,10.3,1.0,,,
2023-05-04,3.3000000000000003,0.0,28.45,17.775,8.9,11.2,1.0,,,
2023-05-05,3.6,18.5,32.474999999999994,22.2,8.9,10.7,1.0,,,1.0
2023-05-06,5.0,66.7,32.2,19.7,11.2,17.0,1.0,,1.0,1.0
2023-05-07,3.9333333333333336,24.5,27.075,23.325,9.4,13.4,1.0,,1.0,1.0
2023-05-08,4.033333333333334,390.3,28.475,20.4,20.1,26.8,1.0,,1.0,1.0
2023-05-09,2.9,456.5,26.525,19.45,11.2,16.5,,,1.0,
2023-05-10,2.6333333333333333,1634.2,24.7,19.299999999999997,9.4,12.5,1.0,,1.0,
2023-05-11,4.533333333333333,984.8,29.475,21.525,8.9,11.6,1.0,,,1.0
2023-05-12,5.533333333333334,3.0,30.950000000000003,23.625,9.8,14.3,1.0,,,
2023-05-13,3.6666666666666665,63.6,27.775,20.4,9.4,12.5,1.0,,1.0,1.0
2023-05-14,3.6333333333333333,1535.2,28.85,20.6,15.7,22.8,1.0,,1.0,1.0
2023-05-15,2.066666666666667,765.8,29.725,21.0,8.9,12.1,1.0,1.0,1.0,1.0
2023-05-16,2.5,267.4,30.975,20.125,17.0,25.9,1.0,,1.0,
2023-05-17,1.7666666666666666,182.0,30.575000000000003,19.7,5.4,9.8,,,,
2023-05-18,1.7666666666666666,0.3,32.075,19.15,5.8,7.6,,,,
2023-05-19,2.466666666666667,0.5,33.05,21.25,8.9,10.3,1.0,,,
2023-05-20,3.1666666666666665,0.8,31.925,21.925,8.9,11.6,,,,
2023-05-21,2.533333333333333,36.8,27.775,20.425,6.3,8.9,,,,1.0
2023-05-22,2.0,1.9,29.175,20.7,5.8,8.1,,,,
2023-05-23,1.7666666666666668,16.0,31.125,20.4,13.0,15.7,1.0,,1.0,1.0
2023-05-24,2.566666666666667,36.3,31.125,19.974999999999998,7.6,10.3,1.0,,,1.0
2023-05-25,2.6,0.0,30.85,20.575,6.3,8.9,,,,
2023-05-26,2.4,0.0,32.075,20.15,7.2,10.7,,,,1.0
2023-05-27,1.6333333333333335,0.3,31.8,20.55,6.3,8.5,1.0,,,1.0
2023-05-28,2.033333333333333,0.0,31.55,19.85,7.6,12.1,1.0,,,1.0
2023-05-29,2.3666666666666667,15.2,30.85,21.400000000000002,9.8,12.1,1.0,,,
2023-05-30,2.2333333333333334,19.799999999999997,31.925000000000004,19.849999999999998,7.2,9.8,,,1.0,
2023-05-31,2.033333333333333,12.799999999999999,31.825,20.55,7.2,9.4,1.0,,1.0,
2023-06-01,2.3000000000000003,20.099999999999998,31.825000000000003,19.724999999999998,7.6,12.1,1.0,,,
2023-06-02,1.7666666666666666,0.0,32.375,20.55,6.7,8.9,1.0,,,
2023-06-03,2.466666666666667,0.6,33.6,21.65,7.6,8.9,,,1.0,
2023-06-04,2.2333333333333334,786.7,30.15,19.299999999999997,17.9,27.7,1.0,,1.0,
2023-06-05,2.25,114.1,31.95,20.0,16.5,20.6,1.0,,1.0,
2023-06-06,1.6000000000000003,308.4,30.425,20.425,10.7,13.9,1.0,,1.0,1.0
2023-06-07,1.2333333333333334,171.1,32.35,19.7,10.7,14.8,1.0,1.0,1.0,
2023-06-08,2.3666666666666667,107.7,32.65,20.15,15.7,21.5,1.0,,1.0,1.0
2023-06-09,1.5333333333333334,800.6,34.3,19.7,7.2,8.9,1.0,,,
2023-06-10,3.533333333333333,26.0,34.15,21.0,19.2,25.9,1.0,,1.0,
2023-06-11,3.5,114.4,34.275,20.975,10.3,13.0,,,1.0,
2023-06-12,3.033333333333333,0.0,34.725,24.025,8.9,11.2,,,,
2023-06-13,3.633333333333333,0.0,34.125,24.175,9.4,12.5,,,,
2023-06-14,4.633333333333334,0.0,34.85,25.7,7.2,11.2,,,,1.0
2023-06-15,4.333333333333333,0.0,35.575,26.8,9.8,13.4,1.0,,,1.0
2023-06-16,4.2,0.0,35.7,27.1,9.4,13.0,1.0,,,1.0
2023-06-17,3.1,0.0,35.825,27.075,9.8,13.0,,,,1.0
2023-06-18,4.866666666666666,0.0,36.525,26.675,11.2,14.3,,,,
2023-06-19,4.166666666666667,0.0,36.65,26.65,10.7,13.9,,,,
2023-06-20,3.9333333333333336,0.0,36.95,27.35,8.9,12.5,,,,1.0
2023-06-21,3.4333333333333336,47.5,36.95,23.05,21.0,43.4,1.0,,1.0,
2023-06-22,2.6999999999999997,397.2,35.975,23.9,8.1,12.1,1.0,,,1.0
2023-06-23,2.6,11.3,36.0,25.425,9.8,12.5,1.0,,1.0,1.0
