day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08
2019-01-01,4.033333333333333,0.0,28.023076923076925,20.430769230769233,8.9,12.5,,,,
2019-01-02,4.233333333333333,1.6,28.246153846153845,20.207692307692305,8.1,12.5,,,,
2019-01-03,3.6999999999999997,0.3,28.599999999999998,21.383333333333336,8.1,11.6,1.0,,,
2019-01-04,3.4,0.0,28.66923076923077,20.123076923076926,8.9,12.1,1.0,,,
2019-01-05,3.9333333333333336,11.6,27.646153846153844,18.46153846153846,7.6,12.1,1.0,,,
2019-01-06,2.433333333333333,0.5,25.95384615384615,11.899999999999999,6.3,9.8,1.0,,,
2019-01-07,2.3333333333333335,0.0,25.907692307692308,13.461538461538462,7.2,13.4,1.0,,,
2019-01-08,1.3666666666666665,0.0,27.392307692307693,15.992307692307692,4.5,8.1,,,,
2019-01-09,3.2000000000000006,0.0,26.715384615384615,15.892307692307693,7.2,8.9,,,,
2019-01-10,4.433333333333334,0.0,22.523076923076925,10.038461538461538,8.9,10.7,,,,
2019-01-11,3.6,0.0,21.876923076923074,10.053846153846154,7.6,10.7,,,,
2019-01-12,4.433333333333334,2.6,25.43846153846154,13.846153846153847,9.8,13.4,1.0,,,
2019-01-13,2.4333333333333336,27.7,26.96923076923077,17.484615384615385,5.8,8.9,1.0,,,
2019-01-14,2.766666666666667,1.6,27.184615384615384,16.4,6.3,7.2,1.0,,,1.0
2019-01-15,4.266666666666667,0.0,23.984615384615385,12.899999999999999,9.4,11.2,,,,1.0
2019-01-16,4.133333333333334,0.0,21.707692307692305,10.476923076923075,8.1,10.3,,,,1.0
2019-01-17,2.3000000000000003,0.5,24.092307692307692,11.661538461538461,6.3,10.3,,,,
2019-01-18,1.7666666666666666,0.0,26.346153846153847,12.776923076923076,5.8,7.2,,,,
2019-01-19,2.733333333333333,0.0,26.161538461538463,13.592307692307692,7.6,11.2,1.0,,,
2019-01-20,6.1000000000000005,218.7,24.69090909090909,14.0,13.4,16.1,1.0,,1.0,
2019-01-21,3.766666666666667,100.1,22.569230769230767,6.8307692307692305,8.1,11.6,,,,
2019-01-22,7.666666666666667,0.0,22.915384615384617,10.0,12.5,16.1,,,,
2019-01-23,7.933333333333334,0.0,25.292307692307695,20.26153846153846,11.6,15.2,,,,
2019-01-24,5.166666666666667,36.6,26.96923076923077,20.974999999999998,13.0,16.1,1.0,,1.0,
2019-01-25,4.366666666666666,181.7,24.615384615384617,15.515384615384615,8.9,10.7,,,,
2019-01-26,3.4,266.9,19.638461538461538,13.584615384615386,7.2,8.9,1.0,,,
2019-01-27,3.3000000000000003,442.4,23.03846153846154,14.315384615384614,13.4,17.4,1.0,,1.0,
2019-01-28,5.5,344.7,21.284615384615385,10.053846153846154,9.4,13.9,1.0,,1.0,
2019-01-29,3.0,0.8,18.46153846153846,8.615384615384615,7.2,8.9,,,,
2019-01-30,1.9000000000000001,0.0,21.684615384615384,10.346153846153847,6.3,8.1,,,,
2019-01-31,3.3666666666666667,1.1,23.799999999999997,13.238461538461538,8.9,10.3,1.0,,,
2019-02-01,3.033333333333333,27.7,25.653846153846153,15.13076923076923,7.6,8.9,1.0,,,
2019-02-02,3.1666666666666665,20.8,27.133333333333336,18.466666666666665,9.4,11.2,1.0,,,
2019-02-03,2.033333333333333,3.9999999999999996,28.03076923076923,17.684615384615384,6.3,8.9,1.0,,,
2019-02-04,2.533333333333333,0.3,27.4,17.823076923076922,6.3,8.5,1.0,,,
2019-02-05,2.0333333333333337,0.3,26.23846153846154,16.26923076923077,6.7,8.5,1.0,,,
2019-02-06,2.6333333333333333,0.0,26.584615384615386,16.492307692307694,7.2,11.6,1.0,,,
2019-02-07,3.033333333333333,0.0,26.423076923076923,16.407692307692308,8.1,11.2,,,,
2019-02-08,2.6666666666666665,3.7,27.1,16.923076923076923,8.1,10.3,,,,
2019-02-09,4.166666666666667,10.5,26.816666666666666,17.825,11.2,16.1,1.0,,,
2019-02-10,6.166666666666667,37.8,26.715384615384615,19.2,11.6,14.8,,,,
2019-02-11,4.433333333333334,18.1,26.576923076923077,20.9,10.3,13.9,1.0,,,1.0
2019-02-12,4.6000000000000005,85.5,27.484615384615385,21.123076923076926,9.4,13.0,,,,
2019-02-13,4.1000000000000005,206.6,25.592307692307692,19.284615384615385,13.0,14.8,1.0,,,1.0
2019-02-14,4.266666666666667,556.3,24.707692307692305,13.676923076923078,8.9,10.7,,,,
2019-02-15,2.1,1.6,27.184615384615384,15.253846153846155,5.8,7.2,1.0,,,
2019-02-16,2.266666666666667,0.3,27.56153846153846,14.907692307692308,7.6,11.6,,,,
2019-02-17,3.1666666666666665,0.6,28.323076923076922,17.13076923076923,8.9,14.3,1.0,,,
2019-02-18,3.8333333333333335,0.0,29.523076923076925,21.069230769230767,7.6,11.6,1.0,,,
2019-02-19,5.133333333333334,9.9,29.77692307692308,22.576923076923077,10.7,13.0,1.0,,,
2019-02-20,5.633333333333333,48.199999999999996,29.23076923076923,22.523076923076925,11.6,14.8,,,,
2019-02-21,5.1000000000000005,7.2,28.95384615384615,22.469230769230766,9.4,12.5,,,,
2019-02-22,4.033333333333334,7.499999999999999,29.615384615384617,21.83076923076923,9.8,11.2,,,,
2019-02-23,4.933333333333334,1.3,29.43846153846154,22.77692307692308,10.3,13.9,,,,
2019-02-24,3.0666666666666664,4.2,29.983333333333334,21.575,8.1,10.3,1.0,,,
2019-02-25,4.366666666666666,5.2,29.861538461538462,20.33076923076923,10.3,13.0,1.0,,,1.0
2019-02-26,5.6000000000000005,19.6,28.407692307692308,21.73846153846154,10.7,12.5,1.0,,,
2019-02-27,3.1999999999999997,92.8,28.46923076923077,20.253846153846155,9.8,11.6,1.0,,,
2019-02-28,2.566666666666667,27.2,29.43846153846154,19.146153846153847,6.3,7.2,1.0,,,
2019-03-01,2.2333333333333334,5.6,28.915384615384614,18.06923076923077,6.7,8.5,1.0,,,
2019-03-02,1.8666666666666665,0.0,29.49230769230769,16.907692307692308,6.3,9.4,1.0,,,
2019-03-03,3.266666666666667,14.200000000000001,30.03846153846154,19.353846153846153,8.1,11.2,,,,
2019-03-04,3.4,1.0,30.77692307692308,19.407692307692308,8.9,10.7,1.0,,,
2019-03-05,4.0,1.8,31.115384615384617,19.315384615384616,10.7,14.3,1.0,1.0,,1.0
2019-03-06,5.433333333333334,15.599999999999998,26.684615384615384,11.8,9.8,12.1,,,,
2019-03-07,4.0,0.0,23.584615384615386,11.323076923076922,9.4,13.4,,,,
2019-03-08,3.8000000000000003,3.6,25.861538461538462,14.276923076923076,9.8,12.1,,,,
2019-03-09,4.966666666666667,28.1,28.0,18.253846153846155,9.4,12.1,1.0,,,
2019-03-10,4.966666666666667,13.4,28.923076923076923,21.115384615384617,8.9,11.2,1.0,,,
2019-03-11,2.5,5.8,29.615384615384617,20.5,6.3,8.5,1.0,,,
2019-03-12,3.1999999999999997,0.0,30.26153846153846,19.153846153846153,8.1,11.2,1.0,,,
2019-03-13,6.166666666666667,3.1,29.053846153846152,20.607692307692307,10.7,14.3,,,,
2019-03-14,6.466666666666666,0.0,27.861538461538462,21.715384615384615,9.8,13.0,,,,
2019-03-15,4.433333333333334,2.1,27.984615384615385,21.83076923076923,8.1,11.6,,,,1.0
2019-03-16,2.533333333333333,22.4,29.015384615384615,19.823076923076922,6.7,8.1,1.0,,,
2019-03-17,2.1999999999999997,90.3,29.653846153846153,20.346153846153847,7.2,8.5,1.0,,,
2019-03-18,3.1666666666666665,91.1,28.023076923076925,19.56153846153846,6.7,8.5,,,,
2019-03-19,4.366666666666666,171.5,23.76923076923077,18.376923076923077,9.8,12.1,1.0,,,1.0
