day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
2019-01-01,5.5,241.2,16.4,3.85,13.4,16.5,1.0,1.0,,,,,,
2019-01-02,2.2,0.0,11.65,2.5,5.4,7.2,,,,,,,,
2019-01-03,2.2,0.6,7.75,1.45,9.4,12.1,,,,,,,,
2019-01-04,1.7,1.8,8.05,-1.6,5.8,6.7,1.0,,,,,,1.0,
2019-01-05,4.0,69.6,9.45,1.6500000000000001,11.2,13.9,1.0,,,,,,,
2019-01-06,3.9,12.6,11.399999999999999,-0.25,11.6,16.5,,,,,,,,
2019-01-07,3.0,0.0,8.35,-1.35,7.2,10.3,,,,,,,,
2019-01-08,3.5,49.699999999999996,8.9,1.1,14.3,17.4,1.0,,,,,,,
2019-01-09,8.9,88.1,12.8,0.8999999999999999,14.8,19.7,,,,,,,,
2019-01-10,9.3,5.8999999999999995,3.9,-3.0,15.7,21.5,,,,,,,,
2019-01-11,4.8,0.0,1.4000000000000001,-4.35,10.7,13.4,,,,,,,,
2019-01-12,1.3,10.399999999999999,1.1,-4.95,4.0,5.4,1.0,,,,,,,
2019-01-13,3.7,295.2,-0.2,-3.85,6.7,8.1,1.0,,,,,,,
2019-01-14,2.2,241.4,-0.29999999999999993,-7.15,6.3,7.6,1.0,,,,,1.0,,
2019-01-15,1.6,0.0,2.25,-10.8,6.7,8.5,1.0,,,,,,,
2019-01-16,2.2,0.0,3.6,-9.95,9.4,13.0,1.0,,,,,1.0,,
2019-01-17,2.1,5.8,3.6,-5.5,5.4,6.3,1.0,,,,,1.0,,
2019-01-18,0.8,70.6,3.9,-1.6,4.5,4.9,1.0,1.0,,,,1.0,,
2019-01-19,2.3,46.400000000000006,4.449999999999999,-0.8,5.8,8.1,1.0,,,,,,,
2019-01-20,8.5,523.8,3.3000000000000003,-3.8500000000000005,16.5,21.9,1.0,,,,,,,
