day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT11
2021-01-01,3.6399999999999997,538.0,12.316666666666668,1.0166666666666668,8.9,11.2,1.0,,,,,,
2021-01-02,2.06,0.0,16.016666666666666,0.6833333333333332,6.7,8.9,,,,,,,
2021-01-03,2.16,0.0,19.55,-1.05,7.2,10.3,,,,,,,
2021-01-04,1.4,0.0,23.7,0.9333333333333332,5.4,7.6,1.0,1.0,,,,,
2021-01-05,2.56,0.0,19.45,5.183333333333334,6.3,8.1,1.0,,,,,,
2021-01-06,4.92,26.0,21.849999999999998,10.1,12.5,17.9,1.0,,,,,,
2021-01-07,4.0,60.9,18.599999999999998,4.3500000000000005,10.3,13.4,,,,,,,
2021-01-08,3.06,0.0,14.616666666666667,1.3166666666666667,6.7,9.8,,,,,,,
2021-01-09,2.7800000000000002,0.0,11.766666666666666,-0.7000000000000001,8.1,12.5,,,,,,,
2021-01-10,5.5200000000000005,670.6,8.866666666666667,1.0166666666666666,10.3,13.4,1.0,,1.0,1.0,,,
2021-01-11,3.4200000000000004,1031.0,7.5,0.4833333333333334,8.1,10.3,,,,,,,
2021-01-12,1.28,0.3,8.783333333333333,-2.8833333333333333,5.4,7.2,1.0,,,,,,
2021-01-13,2.38,0.5,15.733333333333334,-2.1333333333333333,6.7,9.4,1.0,,,,,,
2021-01-14,3.44,0.3,21.75,0.1166666666666667,11.6,15.7,,,,,,,
2021-01-15,4.4799999999999995,0.0,16.666666666666668,2.4833333333333334,10.7,14.3,,,,,,,
2021-01-16,1.5799999999999998,0.0,17.683333333333334,-1.5,5.4,7.2,,,,,,,
2021-01-17,1.6800000000000002,0.0,19.916666666666668,0.5833333333333334,6.3,8.9,,,,,,,
2021-01-18,2.7800000000000002,0.0,22.333333333333332,2.4833333333333334,8.1,11.2,1.0,,,,,1.0,
2021-01-19,4.66,21.1,22.03333333333333,7.666666666666667,9.4,13.4,1.0,,,,,,
2021-01-20,3.44,177.1,12.866666666666667,8.216666666666667,7.6,10.7,1.0,,,,,,
2021-01-21,1.3,114.7,15.425,9.725,4.0,5.8,1.0,,,,,,
2021-01-22,1.5666666666666667,35.9,23.475,10.0,7.6,11.6,1.0,,,,,,
2021-01-23,2.1999999999999997,11.3,18.625,10.55,5.8,8.1,1.0,1.0,,,,,
2021-01-24,3.46,113.4,20.933333333333334,14.65,9.4,13.0,1.0,1.0,,,,,
2021-01-25,3.66,87.9,23.78333333333333,10.366666666666667,10.7,14.3,1.0,,,,,1.0,
2021-01-26,1.9000000000000001,3.3,23.683333333333334,5.833333333333333,6.7,9.4,,,,,,,
2021-01-27,4.46,0.0,19.516666666666666,6.466666666666666,11.2,15.7,,,,,,,
2021-01-28,3.0,0.0,14.716666666666667,2.8666666666666667,7.6,11.2,,,,,,,
2021-01-29,3.08,0.0,19.183333333333334,2.6666666666666665,9.8,13.0,,,,,,,
2021-01-30,2.9,0.0,23.416666666666668,8.716666666666667,6.7,9.8,,,,,,,
2021-01-31,4.12,0.0,22.766666666666666,6.1000000000000005,9.8,14.3,,,,,,,
2021-02-01,2.9,0.0,19.599999999999998,3.983333333333333,8.1,12.1,,,,,,,
2021-02-02,1.86,0.0,18.95,1.95,5.8,8.9,,,,,,,
2021-02-03,3.28,0.0,23.016666666666666,3.8000000000000003,8.9,14.8,,,,,,,
2021-02-04,3.7,0.0,26.400000000000002,10.833333333333334,8.9,13.4,1.0,1.0,,,,,
2021-02-05,4.26,0.5,16.400000000000002,8.533333333333333,8.9,14.3,,,1.0,,,,
2021-02-06,3.2399999999999998,47.599999999999994,22.8,8.033333333333333,10.7,15.2,1.0,,,,,,
2021-02-07,3.5799999999999996,3.0999999999999996,22.233333333333334,3.4333333333333336,7.6,12.5,,,,,,,
2021-02-08,2.2399999999999998,0.0,23.599999999999998,8.233333333333333,7.2,10.3,1.0,1.0,,,,,
2021-02-09,2.66,4.1,24.900000000000002,11.75,7.2,10.3,1.0,,,,,,
2021-02-10,4.38,2.3,14.35,5.166666666666667,8.9,13.9,1.0,,,,,1.0,
2021-02-11,6.0200000000000005,195.9,5.166666666666667,0.9666666666666667,10.7,16.1,1.0,,1.0,,,,
2021-02-12,5.8,1456.0,2.3166666666666664,-0.31666666666666665,10.7,16.5,1.0,,,,1.0,,
2021-02-13,5.04,21.9,0.03333333333333335,-1.866666666666667,8.9,12.1,1.0,,,,1.0,1.0,
2021-02-14,4.84,16.2,-1.2333333333333334,-8.916666666666666,10.7,15.7,1.0,,,1.0,1.0,1.0,
2021-02-15,4.74,166.5,1.1666666666666663,-12.516666666666666,9.4,14.8,1.0,,,,1.0,1.0,
2021-02-16,2.98,1.8,-2.4,-11.483333333333334,5.8,7.6,1.0,,,,1.0,,
2021-02-17,3.5,96.2,4.433333333333334,-5.366666666666667,10.7,15.2,1.0,,,,1.0,1.0,
