day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08
2020-01-01,1.3199999999999998,0.0,11.316666666666665,9.233333333333334,5.8,7.6,1.0,,,,,
2020-01-02,1.22,25.0,16.933333333333334,7.033333333333334,6.3,8.1,1.0,,,,,
2020-01-03,3.8200000000000003,5.6,17.766666666666666,6.016666666666667,9.4,13.9,1.0,,,,,
2020-01-04,1.8,0.0,21.116666666666664,1.3833333333333335,6.3,8.5,,,,,,
2020-01-05,2.48,1.0,23.133333333333336,2.6,8.1,10.7,,,,,,
2020-01-06,2.32,0.0,23.316666666666666,5.933333333333334,9.8,14.3,,,,,,
2020-01-07,2.82,0.0,19.883333333333333,2.216666666666667,8.1,13.4,,,,,,1.0
2020-01-08,4.04,0.0,20.650000000000002,-0.25,10.7,15.2,,,,,,
2020-01-09,4.9799999999999995,0.8,24.55,13.966666666666667,9.8,14.8,,,,,,
2020-01-10,5.96,71.2,25.8,14.440000000000001,25.9,31.3,1.0,,1.0,,,
2020-01-11,3.72,1224.8,18.15,6.866666666666667,10.3,13.9,,,1.0,,,
2020-01-12,1.28,0.0,17.233333333333334,1.3333333333333333,5.8,8.5,,,,,,
2020-01-13,1.1,7.9,16.116666666666667,7.95,3.6,5.4,1.0,1.0,,,,
2020-01-14,1.1400000000000001,94.1,23.266666666666666,14.366666666666667,6.3,7.6,1.0,1.0,,,,
2020-01-15,3.06,16.9,25.083333333333332,19.2,7.6,10.7,1.0,,,,,
2020-01-16,3.1,124.5,22.78333333333333,16.033333333333335,8.1,10.7,1.0,,,,,
2020-01-17,2.8,680.0,21.766666666666666,15.216666666666667,9.8,13.0,1.0,1.0,,,,
2020-01-18,3.6,159.8,20.95,10.933333333333332,9.4,13.4,1.0,1.0,,,,
2020-01-19,4.32,8.0,15.75,5.1000000000000005,9.4,13.9,,,,,,
2020-01-20,1.3800000000000001,0.0,15.383333333333333,2.4,5.4,8.5,,,,,,1.0
2020-01-21,3.6400000000000006,0.0,16.675,2.5,10.7,14.3,,,,,,1.0
2020-01-22,1.98,796.4,14.700000000000001,7.866666666666667,8.9,11.6,1.0,1.0,,,,1.0
2020-01-23,2.96,399.2,20.566666666666666,8.416666666666666,8.1,10.3,1.0,1.0,,,,
2020-01-24,1.56,0.6,20.116666666666667,4.083333333333333,6.3,31.3,1.0,,,,,
2020-01-25,2.16,8.1,18.7,4.716666666666667,8.9,10.7,1.0,1.0,,,,
2020-01-26,1.1400000000000001,69.9,23.900000000000002,9.533333333333333,4.5,6.3,1.0,1.0,,,,
2020-01-27,2.66,0.5,23.333333333333332,8.8,8.9,10.7,,,,,,
2020-01-28,4.5,645.6,21.483333333333334,9.833333333333334,11.6,16.1,1.0,1.0,1.0,,,1.0
2020-01-29,4.26,0.8,17.433333333333334,5.933333333333334,8.9,12.5,,,,,,
2020-01-30,3.1399999999999997,0.0,11.5,5.683333333333334,8.1,12.1,1.0,,,,,
2020-01-31,1.9400000000000002,19.6,14.833333333333334,5.8500000000000005,5.8,8.1,,,,,,
2020-02-01,2.04,0.0,20.650000000000002,2.9499999999999997,7.6,10.3,,,,,,
2020-02-02,2.56,0.0,23.766666666666666,4.183333333333333,7.2,9.8,,,,,,
2020-02-03,3.3600000000000003,0.0,22.5,9.466666666666667,10.7,13.9,,,,,,
2020-02-04,2.88,3.7,24.75,10.183333333333334,9.4,13.0,1.0,1.0,,,,
2020-02-05,6.68,1.1,12.88,2.0,10.7,16.1,1.0,,,1.0,,
2020-02-06,3.04,9.1,13.233333333333334,-1.1333333333333335,10.7,17.4,,,,,,
2020-02-07,2.4,0.3,21.650000000000002,-0.7999999999999999,7.6,12.1,,,,,,
2020-02-08,3.4400000000000004,0.0,21.116666666666667,6.016666666666667,11.2,14.8,1.0,,,,,
2020-02-09,4.5200000000000005,32.3,24.45,15.549999999999999,10.3,14.3,1.0,1.0,,,,
2020-02-10,3.54,112.2,23.78333333333333,11.299999999999999,8.9,13.4,1.0,,,,,
2020-02-11,5.5600000000000005,385.3,12.216666666666667,6.666666666666667,9.8,13.4,1.0,,,,,1.0
2020-02-12,2.3600000000000003,1380.5,17.016666666666666,6.233333333333333,8.1,10.7,1.0,,1.0,,,
2020-02-13,3.7600000000000002,19.400000000000002,15.833333333333334,4.433333333333334,8.1,12.5,,,,,,
2020-02-14,2.54,0.0,14.633333333333333,1.1333333333333333,6.7,10.3,,,,,,
2020-02-15,1.4,0.0,15.975000000000001,1.65,6.3,8.1,1.0,,,,,
2020-02-16,1.1400000000000001,1.6,21.46666666666667,6.483333333333334,4.5,6.7,1.0,,,,,
2020-02-17,2.54,20.1,25.933333333333334,12.700000000000001,6.7,8.9,1.0,1.0,,,,1.0
2020-02-18,3.4599999999999995,8.6,24.366666666666664,11.766666666666666,11.6,17.4,1.0,,,,,
2020-02-19,4.4399999999999995,53.5,13.266666666666666,8.783333333333333,8.9,13.0,1.0,,,,,
2020-02-20,5.26,141.0,9.333333333333334,6.8500000000000005,11.6,17.9,1.0,,,,,
2020-02-21,3.2399999999999998,75.8,12.483333333333334,2.5,7.6,11.2,,,,,,
2020-02-22,2.52,0.3,16.483333333333334,3.0500000000000003,9.4,12.5,,,,,,
2020-02-23,3.28,0.0,20.566666666666666,10.183333333333332,9.4,13.0,,,,,,
2020-02-24,2.2600000000000002,2.4,21.583333333333332,9.733333333333333,7.6,10.7,,,,,,
2020-02-25,4.64,0.0,19.916666666666668,4.416666666666667,10.7,16.5,1.0,,,,,1.0
2020-02-26,6.5,0.0,12.4,1.3166666666666667,14.3,19.2,,,,,,
2020-02-27,1.86,0.0,15.383333333333333,-3.3333333333333335,6.3,8.5,,,,,,
2020-02-28,2.3,0.0,21.400000000000002,0.5666666666666665,6.3,11.2,,,,,,1.0
2020-02-29,4.340000000000001,0.0,23.5,4.333333333333333,10.3,15.7,,,,,,
2020-03-01,3.08,0.0,24.25,10.916666666666666,7.2,10.3,,,,,,
2020-03-02,2.24,0.0,23.516666666666666,15.1,7.6,8.9,1.0,,,,,
2020-03-03,2.66,0.3,23.983333333333334,16.48333333333333,9.8,13.4,1.0,,,,,
2020-03-04,5.18,797.6,21.2,12.5,12.5,16.5,1.0,,1.0,,,
2020-03-05,3.94,60.1,22.78333333333333,9.083333333333334,10.3,13.4,,,,,,1.0
2020-03-06,3.34,1.1,21.566666666666666,7.116666666666667,8.9,12.5,,,,,,
2020-03-07,2.9,0.0,18.316666666666666,7.583333333333333,8.1,10.7,,,,,,
2020-03-08,4.76,1.1,23.03333333333333,8.8,11.2,14.8,1.0,,,,,
2020-03-09,3.28,32.8,22.2,15.283333333333333,7.6,11.2,1.0,,,,,
2020-03-10,2.14,94.1,25.099999999999998,16.849999999999998,7.6,10.7,1.0,1.0,,,,
2020-03-11,3.72,2.3,28.8,16.65,8.9,12.1,1.0,1.0,,,,1.0
2020-03-12,4.040000000000001,0.0,29.733333333333334,16.766666666666666,9.4,11.6,,,,,,
2020-03-13,4.6,0.0,29.150000000000002,18.766666666666666,10.7,14.3,,,,,,
2020-03-14,4.62,0.0,28.599999999999998,20.116666666666667,8.9,15.2,1.0,,,,,
2020-03-15,3.3,8.9,22.766666666666666,17.95,7.2,10.3,1.0,,,,,1.0
2020-03-16,3.1399999999999997,39.8,24.78,17.32,9.4,12.1,1.0,,,,,1.0
2020-03-17,4.82,4.199999999999999,27.683333333333334,18.583333333333332,11.2,14.3,1.0,,1.0,,,
2020-03-18,5.32,88.39999999999999,29.36666666666667,19.733333333333334,10.7,14.3,,,,,,
2020-03-19,3.7600000000000002,123.89999999999999,28.233333333333334,19.833333333333332,13.0,16.5,1.0,,1.0,,,1.0
2020-03-20,5.779999999999999,653.6,22.66,13.0,13.4,17.9,1.0,,1.0,,,
2020-03-21,4.5,426.40000000000003,13.333333333333334,9.633333333333333,8.1,12.5,1.0,,1.0,,,1.0
2020-03-22,1.5399999999999998,996.6,17.01666666666667,11.200000000000001,4.5,6.7,1.0,1.0,,,,1.0
2020-03-23,2.68,61.7,25.46666666666667,16.3,7.6,10.3,1.0,1.0,,,,1.0
2020-03-24,1.6,5.9,30.916666666666668,16.583333333333332,7.2,9.4,1.0,,,,,1.0
2020-03-25,2.46,0.0,30.483333333333334,13.9,7.6,10.3,1.0,1.0,,,,1.0
2020-03-26,4.5,0.0,31.2,17.75,9.4,13.4,1.0,1.0,,,,1.0
2020-03-27,4.26,1.8,31.116666666666664,19.633333333333333,9.4,13.9,1.0,,,,,
2020-03-28,3.2399999999999998,93.6,27.866666666666664,12.333333333333334,13.4,18.3,1.0,,1.0,,,1.0
2020-03-29,3.06,40.3,26.75,8.6,8.9,12.5,,,,,,
