day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
2023-01-01,6.0,21.3,12.8,7.75,10.3,13.0,1.0,,,,,,
2023-01-02,3.4,0.0,11.95,0.55,8.1,10.3,,,,,,,
2023-01-03,2.1,12.7,8.6,0.0,5.4,6.3,1.0,,,,,,1.0
2023-01-04,2.4,39.3,6.95,3.3000000000000003,5.8,7.2,1.0,,,,,,
2023-01-05,6.7,18.9,7.5,2.8,9.8,12.5,1.0,,,,,,
2023-01-06,3.6,7.6,3.6,0.6,5.8,7.2,1.0,,,,,,
2023-01-07,4.1,16.0,4.2,-0.25,7.6,10.3,1.0,,,,,,
2023-01-08,4.2,0.0,5.0,-4.1,8.9,11.2,,,,,,,
2023-01-09,4.3,0.0,5.25,-3.25,6.7,8.9,,,,,,,
2023-01-10,4.6,0.0,5.85,-2.45,7.6,11.2,,,,,,,
2023-01-11,3.7,0.3,4.2,-5.25,5.8,7.6,1.0,,,,,,
2023-01-12,3.9,7.5,5.55,-3.3,8.9,10.3,1.0,,,,,,
2023-01-13,7.1,52.099999999999994,14.15,1.65,13.4,17.4,1.0,,,,,,
2023-01-14,5.5,6.6,8.6,0.3,7.6,10.7,1.0,,,,,,
2023-01-15,8.8,4.3,1.95,-1.1,13.0,16.5,1.0,,,,,,1.0
2023-01-16,6.4,13.3,1.6500000000000001,-1.35,10.3,13.0,1.0,,,1.0,,1.0,
2023-01-17,4.2,4.8999999999999995,5.0,-1.65,6.7,8.9,,,,,,,
2023-01-18,5.2,2.6,11.1,1.9000000000000001,10.7,14.3,,,,,,,
2023-01-19,4.0,16.9,8.35,0.55,9.8,11.2,1.0,,,1.0,,,
2023-01-20,4.5,97.7,3.85,-0.25,16.1,19.2,1.0,,,,,,
2023-01-21,3.7,9.399999999999999,0.8500000000000001,-1.65,6.7,9.4,1.0,,,,,,
2023-01-22,3.4,6.1,1.7,-2.1500000000000004,5.4,8.9,1.0,,,,,,
2023-01-23,7.1,92.7,2.2,-1.1,11.6,14.8,1.0,1.0,,1.0,,,
2023-01-24,6.4,37.6,2.8,-2.15,10.3,13.4,,,,,,,
2023-01-25,4.2,7.9,4.699999999999999,-1.0999999999999999,9.4,10.3,1.0,,,,,,
2023-01-26,8.0,107.2,12.8,0.29999999999999993,14.8,20.6,1.0,,,,,,
2023-01-27,3.8,0.3,6.699999999999999,-1.9,9.4,12.1,,,,,,,
2023-01-28,5.2,0.0,8.05,-2.15,10.3,13.9,,,,,,,
2023-01-29,3.8,0.0,10.85,0.25000000000000006,8.1,10.7,,,,,,,
2023-01-30,3.1,0.0,9.2,1.4000000000000001,6.3,8.5,,,,,,,
2023-01-31,4.7,7.3999999999999995,8.05,-2.45,7.6,9.8,1.0,,,1.0,,,
2023-02-01,3.4,0.0,1.45,-6.05,6.7,8.9,,,,,,,
2023-02-02,5.5,0.0,1.95,-5.199999999999999,9.4,11.6,,,,,,,
2023-02-03,9.8,0.0,2.5,-14.100000000000001,14.8,20.1,,,,,,,
2023-02-04,7.1,0.0,-6.65,-23.549999999999997,13.9,20.6,1.0,,,,,,
2023-02-05,5.9,0.0,5.0,-15.25,11.6,15.7,,,,,,,
2023-02-06,4.7,0.0,10.25,-0.55,9.8,12.1,,,,,,,
2023-02-07,4.7,1.0,5.0,-4.1,8.9,10.7,,,,1.0,,1.0,
2023-02-08,5.5,3.6,6.1,-1.4,7.6,13.4,,,,,,,
2023-02-09,2.8,0.0,8.600000000000001,-1.4,6.3,8.1,,,,,,,
2023-02-10,5.7,0.0,13.1,0.2999999999999998,12.5,19.2,,,,,,,
2023-02-11,5.7,0.0,11.7,0.55,12.5,17.4,,,,,,,
2023-02-12,3.2,0.0,8.9,-2.2,6.3,8.5,,,,,,,
2023-02-13,5.0,0.0,8.35,1.7,9.4,12.1,,,,,,,
2023-02-14,4.1,0.0,8.6,1.15,10.3,13.0,,,,,,,
2023-02-15,5.5,0.0,12.5,0.0,11.6,16.1,,,,,,,
2023-02-16,3.8,0.3,15.55,5.3,9.4,13.4,,,,,,,
2023-02-17,5.7,1.8,16.4,2.3,13.0,17.9,,,,,,,
2023-02-18,5.5,0.0,10.3,-5.25,11.6,16.5,,,,,,,
2023-02-19,4.4,2.0,6.65,-1.9000000000000001,9.4,11.2,,,,,,,
2023-02-20,4.8,0.0,13.05,3.0500000000000003,9.8,12.1,,,,,,,
2023-02-21,4.1,7.6,12.25,0.6,8.9,11.2,1.0,,,,,,
2023-02-22,4.3,7.8999999999999995,5.3,0.0,8.9,12.5,1.0,,,1.0,,,
2023-02-23,6.8,72.9,3.9000000000000004,-1.6,12.5,15.7,1.0,,,1.0,,1.0,
2023-02-24,6.5,13.5,1.95,-5.5,15.7,21.5,1.0,,,,,1.0,
2023-02-25,3.3,0.3,-1.9,-10.55,6.7,8.5,,,,,,,
2023-02-26,3.3,1.6,-0.8499999999999999,-8.85,8.1,9.8,1.0,,,,,,
2023-02-27,5.2,0.0,1.15,-4.15,8.1,10.3,,,,,,,
2023-02-28,6.6,16.299999999999997,2.2,-1.9000000000000001,12.5,14.3,1.0,,,,,,
2023-03-01,3.9,20.1,3.9,-0.55,6.7,8.1,,,,,,,
2023-03-02,5.1,52.3,6.95,1.7,10.3,13.4,1.0,,,,,,
2023-03-03,4.4,2.5,6.15,0.25000000000000006,8.1,11.6,,,,,,,
2023-03-04,9.3,52.5,5.550000000000001,0.04999999999999999,16.5,20.1,1.0,,,,,,
2023-03-05,5.2,25.599999999999998,4.15,-1.35,9.4,11.6,,,,,,,
2023-03-06,7.9,0.0,8.05,1.7,13.9,18.3,,,,,,,
