fips_code,run_start_time_day,any_out,num_out_per_day,minutes_out,customers_out,customers_out_mean,cust_minute_area,customers_total,pct_out_max,pct_out_area
06073,2021-02-28,1,3,900,2884,329.68333333333334,296715,1362929,0.0021160309891417673,0.00015118328492044219
06073,2021-03-01,1,3,1215,1688,370.95061728395063,450705,1362929,0.0012385091226322135,0.00022964481886681795
06073,2021-03-02,1,1,1440,4344,493.2395833333333,710265,1362929,0.003187253334546407,0.00036189675568817843
06073,2021-03-03,1,2,1365,2022,222.84615384615384,304185,1362929,0.001483569576991905,0.00015498942595933707
06073,2021-03-04,1,2,1110,4047,669.7027027027027,743370,1362929,0.002969340295789436,0.0003787645333444858
06073,2021-03-05,1,1,1440,2578,320.71875,461835,1362929,0.0018915145249679183,0.00023531581615770153
06073,2021-03-06,1,1,1440,2521,786.8229166666666,1133025,1362929,0.001849692830661025,0.0005773029384998534
06073,2021-03-07,1,1,1440,2487,677.0729166666666,974985,1362929,0.0018247465568639305,0.0004967778341107033
06073,2021-03-08,1,2,1275,1157,277.18823529411765,353415,1362929,0.0008489070230364164,0.00018007327111928305
06073,2021-03-09,1,1,1440,3185,224.48958333333334,323265,1362929,0.002336878883639573,0.00016471113560085178
06073,2021-03-10,1,1,1440,3332,141.72916666666666,204090,1362929,0.002444734832115246,0.00010398866460884365
06073,2021-03-11,1,1,1440,240,87.25806451612904,121725,1362929,0.00017609134445007775,6.202175608560681e-05
06073,2021-03-12,1,2,1320,1008,327.54545454545456,432360,1362929,0.0007395836466903265,0.00022029760904639933
06073,2021-03-13,1,1,1440,3156,324.6041666666667,467430,1362929,0.002315601179518522,0.00023816660051012684
06073,2021-03-14,1,2,960,2190,406.6875,390420,1362929,0.0016068335181069592,0.00019892819068344719
06073,2021-03-15,1,3,690,312,109.73913043478261,75720,1362929,0.00022891874778510106,3.858112442638856e-05
06073,2021-03-16,1,2,855,463,192.12280701754386,164265,1362929,0.0003397095520016083,8.369688858822922e-05
06073,2021-03-17,1,1,1440,1238,418.0520833333333,601995,1362929,0.0009083378517883177,0.00030673063918467753
06073,2021-03-18,1,1,1440,3128,336.1354166666667,484035,1362929,0.00229505718933268,0.00024662723932550166
06073,2021-03-19,1,1,1440,4288,580.2916666666666,835620,1362929,0.0031461653541747223,0.0004257680823187904
06073,2021-03-20,1,3,1110,6468,1286.8243243243244,1428375,1362929,0.004745661732929595,0.0007277907237525457
06073,2021-03-21,1,5,900,1882,665.3333333333334,598800,1362929,0.001380849626062693,0.0003051027113909333
06073,2021-03-22,1,3,1185,638,113.70886075949367,134745,1362929,0.00046810949066312333,6.865575291645175e-05
06073,2021-03-23,1,3,1140,1489,145.89473684210526,166320,1362929,0.0010925000495256906,8.474395951659991e-05
06073,2021-03-24,1,1,1425,1343,381.0537634408602,531570,1362929,0.0009853778149852266,0.0002708474420408791
06073,2021-03-25,1,2,1140,1214,329.18840579710144,340710,1362929,0.0008907287173433099,0.000173599774211765
06073,2021-03-26,1,2,1395,2109,516.6129032258065,720675,1362929,0.001547402689355058,0.00036720089601145766
06073,2021-03-27,1,2,1185,1567,232.9620253164557,276060,1362929,0.0011497297364719658,0.000140659075662293
06073,2021-03-28,1,2,1275,3394,571.0235294117647,728055,1362929,0.002490225096098183,0.00037096117992940205
06073,2021-03-29,1,2,1410,2155,420.9468085106383,593535,1362929,0.0015811535303746564,0.00030242006981532666
06073,2021-03-30,1,2,1410,918,199.14893617021278,280800,1362929,0.0006735493925215473,0.00014307421736568817
06073,2021-03-31,1,1,1440,2989,817.1805555555555,882555,1362929,0.0021930709523386763,0.00044968257089449755
06073,2021-04-01,1,1,1440,3102,277.87640449438203,370965,1362929,0.002275980627017255,0.00018901540970463857
06073,2021-04-02,1,1,1440,1374,346.60714285714283,436725,1362929,0.001008122946976695,0.0002225216794125006
06073,2021-04-03,1,1,1440,4290,765.304347826087,528060,1362929,0.0031476327820451396,0.000269059014323808
06073,2021-04-04,1,1,1440,303,236.15625,113355,1362929,0.00022231532236822315,5.7757043837206485e-05
06073,2021-04-05,1,1,1440,2077,438.05454545454546,361395,1362929,0.0015239238434283811,0.0001841392691768977
06073,2021-04-06,1,1,1440,901,275.0375,330045,1362929,0.0006610762556230002,0.0001681657053791259
