day,AWND,PRCP,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT08,WT11
2021-01-01,5.8,0.0,27.458333333333332,22.376923076923074,11.2,13.9,,,,1.0,
2021-01-02,4.066666666666666,0.3,27.346153846153847,21.23846153846154,9.4,12.1,,,,,
2021-01-03,2.6999999999999997,0.0,28.05,18.815384615384616,7.2,8.9,1.0,,,,
2021-01-04,2.8666666666666667,0.0,25.791666666666668,18.2,6.7,11.2,1.0,1.0,,,
2021-01-05,2.9333333333333336,0.0,22.316666666666666,13.192307692307692,7.2,8.9,,,,,
2021-01-06,1.0666666666666667,0.0,22.275000000000002,10.676923076923078,5.4,9.8,1.0,1.0,,1.0,
2021-01-07,2.6333333333333333,0.0,24.083333333333332,11.961538461538462,7.6,12.1,,,,,
2021-01-08,4.466666666666667,1.5,24.4,14.391666666666666,9.8,12.5,1.0,,,1.0,
2021-01-09,3.9666666666666663,2.5,21.263636363636365,11.918181818181818,9.4,12.1,,,,,
2021-01-10,2.4333333333333336,0.0,19.75,9.158333333333333,5.8,7.2,,,,,
2021-01-11,2.5,0.0,23.253846153846155,11.923076923076923,8.1,9.8,,,,,
2021-01-12,1.7666666666666666,0.0,24.95384615384615,17.46153846153846,6.3,8.5,1.0,,,,
2021-01-13,3.033333333333333,18.599999999999998,24.775000000000002,16.376923076923077,8.9,10.3,1.0,,,,
2021-01-14,2.5666666666666664,243.29999999999998,22.175,15.484615384615385,8.1,10.3,1.0,,,1.0,
2021-01-15,2.4333333333333336,5.0,22.78,15.9,5.8,9.4,,,,,
2021-01-16,4.566666666666666,0.3,23.733333333333334,14.416666666666666,10.3,14.3,,,,,
2021-01-17,1.6666666666666667,0.0,21.583333333333332,11.433333333333332,5.8,7.6,,,,,
2021-01-18,1.9666666666666668,8.6,21.391666666666666,13.466666666666667,6.3,8.5,,,1.0,1.0,
2021-01-19,2.766666666666667,0.0,23.200000000000003,12.53076923076923,7.6,12.5,,,,1.0,
2021-01-20,2.4333333333333336,0.0,24.027272727272727,13.841666666666667,8.1,10.3,,,,,
2021-01-21,1.5666666666666667,0.0,25.0,12.833333333333334,6.3,8.9,1.0,1.0,,,
2021-01-22,1.866666666666667,0.0,25.963636363636365,12.691666666666668,6.7,8.9,1.0,1.0,,1.0,
2021-01-23,1.7333333333333334,0.0,26.681818181818183,13.327272727272726,4.5,7.2,1.0,1.0,,,
2021-01-24,1.6666666666666667,0.0,27.0,15.823076923076922,5.8,9.4,1.0,1.0,,1.0,
2021-01-25,2.9,0.0,26.625,17.73076923076923,8.9,12.1,1.0,1.0,,1.0,
2021-01-26,2.5,0.0,27.55,17.73076923076923,7.2,9.4,1.0,1.0,,,
2021-01-27,2.6999999999999997,0.3,29.308333333333334,17.723076923076924,7.2,10.3,1.0,1.0,,,
2021-01-28,5.0,1.2,26.43,15.80909090909091,10.7,13.4,,,,,
2021-01-29,3.9333333333333336,0.0,23.380000000000003,12.481818181818182,8.1,10.3,,,,,
2021-01-30,4.0,0.0,23.363636363636363,12.927272727272726,9.4,12.1,,,,,
2021-01-31,4.2,0.0,24.45,16.333333333333332,8.9,12.5,,,,,
2021-02-01,6.7,2.3,24.569230769230767,16.623076923076923,14.8,17.9,1.0,,1.0,,
2021-02-02,6.533333333333334,26.3,21.224999999999998,11.207692307692307,11.6,16.5,,,,,
2021-02-03,3.9333333333333336,0.0,18.93076923076923,9.092307692307692,8.9,11.2,,,,,
2021-02-04,2.4,0.0,21.26153846153846,6.983333333333333,6.3,9.8,,,,,
2021-02-05,2.6999999999999997,0.0,24.115384615384617,9.641666666666667,7.2,9.8,1.0,,,,
2021-02-06,3.233333333333333,84.4,26.372727272727275,17.73333333333333,9.4,12.1,1.0,,1.0,,
2021-02-07,3.7999999999999994,574.6,28.0,21.65833333333333,10.7,16.5,1.0,,1.0,,
2021-02-08,2.566666666666667,69.80000000000001,29.116666666666664,21.33076923076923,8.1,10.7,1.0,,1.0,1.0,
2021-02-09,2.8666666666666667,56.4,28.833333333333332,20.325,7.2,10.3,1.0,1.0,,1.0,
2021-02-10,3.733333333333333,0.6,28.641666666666666,20.207692307692305,7.2,9.4,1.0,,,,
2021-02-11,4.166666666666667,0.8,28.036363636363635,20.941666666666666,8.1,11.6,1.0,,,,
2021-02-12,3.5,9.7,28.516666666666666,20.50769230769231,8.1,10.3,1.0,,,1.0,
2021-02-13,4.666666666666667,38.6,28.7,21.863636363636363,9.8,13.0,,,,,
2021-02-14,4.3999999999999995,11.2,29.336363636363636,23.481818181818184,9.8,13.9,,,,,
2021-02-15,4.166666666666667,12.799999999999999,29.849999999999998,22.946153846153848,9.8,12.5,1.0,,1.0,,
2021-02-16,3.4333333333333336,242.8,29.418181818181814,22.808333333333334,9.8,12.1,1.0,,1.0,1.0,
2021-02-17,3.7000000000000006,978.6,29.027272727272727,21.983333333333334,8.9,11.2,1.0,,1.0,1.0,
2021-02-18,4.733333333333333,0.8,29.107692307692307,22.73076923076923,9.4,13.9,,,,1.0,
2021-02-19,4.2,30.0,29.299999999999997,21.792307692307695,10.7,15.2,1.0,,,1.0,
2021-02-20,5.566666666666666,62.4,26.9,16.716666666666665,9.8,12.1,,,,,
2021-02-21,7.0,1.4,24.566666666666666,16.5,13.4,15.7,,,,1.0,
2021-02-22,5.066666666666666,6.1,26.291666666666668,19.915384615384614,9.8,12.5,,,,,
2021-02-23,3.033333333333333,9.5,28.241666666666664,20.04615384615385,8.9,11.6,1.0,,,1.0,
2021-02-24,2.2666666666666666,145.7,27.958333333333332,20.161538461538463,8.1,9.4,1.0,,,,
2021-02-25,1.9000000000000001,323.6,28.375,18.93846153846154,5.4,8.1,1.0,1.0,,1.0,
2021-02-26,3.233333333333333,5.5,28.96363636363636,20.416666666666668,7.2,9.8,,,,1.0,
2021-02-27,5.833333333333333,0.0,28.863636363636363,22.12727272727273,9.4,12.5,,,,,
2021-02-28,6.033333333333334,0.3,28.46666666666667,22.924999999999997,10.7,13.9,,,,1.0,
2021-03-01,3.8000000000000003,0.6,28.508333333333336,22.325,7.6,12.1,,,,1.0,
2021-03-02,2.1333333333333333,0.8,29.03846153846154,20.46153846153846,6.7,8.5,1.0,,,1.0,
2021-03-03,5.0,0.0,29.06153846153846,19.52307692307692,12.5,15.7,,,,,
2021-03-04,3.8666666666666667,0.0,26.218181818181815,14.783333333333333,7.6,9.8,,,,,
