column,missing_count,missing_pct
WT05,25892,99.61143384757435
WT11,25870,99.52679567575886
WT04,25831,99.37675528026776
WT06,25795,99.2382564536606
WT02,23816,91.62466817989458
WT03,22024,84.73050436656023
WT08,20232,77.83634055322587
WT01,14114,54.29923440926403
mechanical_stress_index,2353,9.052437194629324
wind_acceleration_1d,2353,9.052437194629324
WSF5,2351,9.04474281537337
WSF2_lag2d,2348,9.033201246489439
WSF2_lag1d,2337,8.990882160581695
AWND,2333,8.975493402069787
WSF2,2326,8.94856307467395
WSF2_3d_max,2306,8.871619282114416
WSF2_7d_max,2291,8.813911437694763
WSF2_7d_mean,2291,8.813911437694763
pct_out_area_covered,1132,4.355018658869696
pct_out_max_unified,1115,4.289616435194091
customers_out_mean,1115,4.289616435194091
train_mask,996,3.831800869464856
run_start_time_day,996,3.831800869464856
pct_out_area_unified,996,3.831800869464856
coverage,996,3.831800869464856
minutes_observed,996,3.831800869464856
snapshots_count,996,3.831800869464856
snapshot_minutes,996,3.831800869464856
minutes_in_local_day,996,3.831800869464856
customers_total,996,3.831800869464856
precip_volatility_7d,72,0.27699765321432696
TMIN_lag3d,41,0.15773477474704728
TMAX_lag3d,40,0.15388758511907052
thermal_stress_index,37,0.14234601623514023
temp_volatility_3d,36,0.13849882660716348
PRCP_lag3d,36,0.13849882660716348
TMIN_lag2d,29,0.11156849921132612
TMAX_lag2d,28,0.10772130958334937
PRCP_lag2d,24,0.09233255107144231
temp_change_1d,20,0.07694379255953526
TMIN_lag1d,17,0.06540222367560497
TMAX_lag1d,16,0.06155503404762821
PRCP_lag1d,12,0.046166275535721155
temp_range_daily,5,0.019235948139883816
TMIN,5,0.019235948139883816
TMAX,4,0.015388758511907052
heating_degree_days,4,0.015388758511907052
cooling_degree_days,4,0.015388758511907052
