,fold,rmse,mae,r2,n_train,n_val
0,1,0.009131417048606337,0.0005950662954731607,-0.00038429423497921,2886.0,2884.0
1,2,0.005941348279693032,0.0007654848228369107,0.0024360820735860322,5770.0,2884.0
2,3,0.00038843727831719,0.00036995336224067887,-6.336318195590952,8654.0,2884.0
3,4,0.008394019156829286,0.0007303963236657978,0.0003078979898207823,11538.0,2884.0
4,5,0.003049627609830162,0.0006251526928000029,0.012414787855732023,14422.0,2884.0
mean,mean,0.005380969874655201,0.0006172106994033102,-1.2643087443813585,8654.0,2884.0
std,std,0.0032808194835893573,0.00013891424828647454,2.536008894862861,,
