threshold,threshold_pct,class_0_count,class_1_count,class_2_count,class_0_pct,class_1_pct,class_2_pct,min_class_pct,std_class_pct,entropy,balance_score
0.01,1%,1132,24742,119,0.04355018658869696,0.9518716577540107,0.004578155657292348,0.004578155657292348,0.5360242054996994,0.1894121845351277,0.00040234053738002877
0.02,2%,1132,24796,65,0.04355018658869696,0.9539491401531182,0.002500673258184896,0.002500673258184896,0.5378608094963765,0.1788030714076525,0.00020663539930724107
0.05,5%,1132,24824,37,0.04355018658869696,0.9550263532489517,0.0014234601623514024,0.0014234601623514024,0.5388138115608221,0.1727238077362353,0.00011338975409053602
0.07,7%,1132,24829,32,0.04355018658869696,0.9552187127303505,0.0012311006809525642,0.0012311006809525642,0.5389840397348011,0.17157176765381238,9.737676847682979e-05
0.1,10%,1132,24835,26,0.04355018658869696,0.9554495441080291,0.0010002693032739583,0.0010002693032739583,0.5391883331886442,0.17015259247802247,7.842941536389962e-05
0.12,12%,1132,24836,25,0.04355018658869696,0.9554880160043089,0.0009617974069941908,0.0009617974069941908,0.5392223841796071,0.1699116147585751,7.530053163221765e-05
0.15,15%,1132,24841,20,0.04355018658869696,0.9556803754857077,0.0007694379255953526,0.0007694379255953526,0.5393926480504724,0.168684439408829,5.978324391273902e-05
0.2,20%,1132,24846,15,0.04355018658869696,0.9558727349671066,0.0005770784441965145,0.0005770784441965145,0.5395629267711062,0.16741298776170896,4.4483022028337956e-05
